name,unified_sutra_code,sutra_code,sutra_name,reel_num,page_count,start_volume,start_page,end_volume,end_page,remark
GL0001_1,UN0246,GL0001,大般若波羅蜜多經,1,26,,,,,
GL0001_2,UN0246,GL0001,大般若波羅蜜多經,2,28,,,,,
GL0001_3,UN0246,GL0001,大般若波羅蜜多經,3,25,,,,,
GL0001_4,UN0246,GL0001,大般若波羅蜜多經,4,26,,,,,
GL0001_5,UN0246,GL0001,大般若波羅蜜多經,5,26,,,,,
GL0001_6,UN0246,GL0001,大般若波羅蜜多經,6,27,,,,,
GL0001_7,UN0246,GL0001,大般若波羅蜜多經,7,26,,,,,
GL0001_8,UN0246,GL0001,大般若波羅蜜多經,8,26,,,,,
GL0001_9,UN0246,GL0001,大般若波羅蜜多經,9,26,,,,,
GL0001_10,UN0246,GL0001,大般若波羅蜜多經,10,25,,,,,
GL0001_11,UN0246,GL0001,大般若波羅蜜多經,11,27,,,,,
GL0001_12,UN0246,GL0001,大般若波羅蜜多經,12,27,,,,,
GL0001_13,UN0246,GL0001,大般若波羅蜜多經,13,26,,,,,
GL0001_14,UN0246,GL0001,大般若波羅蜜多經,14,26,,,,,
GL0001_15,UN0246,GL0001,大般若波羅蜜多經,15,27,,,,,
GL0001_16,UN0246,GL0001,大般若波羅蜜多經,16,26,,,,,
GL0001_17,UN0246,GL0001,大般若波羅蜜多經,17,25,,,,,
GL0001_18,UN0246,GL0001,大般若波羅蜜多經,18,29,,,,,
GL0001_19,UN0246,GL0001,大般若波羅蜜多經,19,26,,,,,
GL0001_20,UN0246,GL0001,大般若波羅蜜多經,20,29,,,,,
GL0001_21,UN0246,GL0001,大般若波羅蜜多經,21,28,,,,,
GL0001_22,UN0246,GL0001,大般若波羅蜜多經,22,29,,,,,
GL0001_23,UN0246,GL0001,大般若波羅蜜多經,23,24,,,,,
GL0001_24,UN0246,GL0001,大般若波羅蜜多經,24,24,,,,,
GL0001_25,UN0246,GL0001,大般若波羅蜜多經,25,26,,,,,
GL0001_26,UN0246,GL0001,大般若波羅蜜多經,26,25,,,,,
GL0001_27,UN0246,GL0001,大般若波羅蜜多經,27,25,,,,,
GL0001_28,UN0246,GL0001,大般若波羅蜜多經,28,26,,,,,
GL0001_29,UN0246,GL0001,大般若波羅蜜多經,29,27,,,,,
GL0001_30,UN0246,GL0001,大般若波羅蜜多經,30,25,,,,,
GL0001_31,UN0246,GL0001,大般若波羅蜜多經,31,27,,,,,
GL0001_32,UN0246,GL0001,大般若波羅蜜多經,32,27,,,,,
GL0001_33,UN0246,GL0001,大般若波羅蜜多經,33,26,,,,,
GL0001_34,UN0246,GL0001,大般若波羅蜜多經,34,26,,,,,
GL0001_35,UN0246,GL0001,大般若波羅蜜多經,35,25,,,,,
GL0001_36,UN0246,GL0001,大般若波羅蜜多經,36,27,,,,,
GL0001_37,UN0246,GL0001,大般若波羅蜜多經,37,29,,,,,
GL0001_38,UN0246,GL0001,大般若波羅蜜多經,38,29,,,,,
GL0001_39,UN0246,GL0001,大般若波羅蜜多經,39,27,,,,,
GL0001_40,UN0246,GL0001,大般若波羅蜜多經,40,25,,,,,
GL0001_41,UN0246,GL0001,大般若波羅蜜多經,41,30,,,,,
GL0001_42,UN0246,GL0001,大般若波羅蜜多經,42,25,,,,,
GL0001_43,UN0246,GL0001,大般若波羅蜜多經,43,26,,,,,
GL0001_44,UN0246,GL0001,大般若波羅蜜多經,44,28,,,,,
GL0001_45,UN0246,GL0001,大般若波羅蜜多經,45,27,,,,,
GL0001_46,UN0246,GL0001,大般若波羅蜜多經,46,28,,,,,
GL0001_47,UN0246,GL0001,大般若波羅蜜多經,47,25,,,,,
GL0001_48,UN0246,GL0001,大般若波羅蜜多經,48,26,,,,,
GL0001_49,UN0246,GL0001,大般若波羅蜜多經,49,28,,,,,
GL0001_50,UN0246,GL0001,大般若波羅蜜多經,50,24,,,,,
GL0001_51,UN0246,GL0001,大般若波羅蜜多經,51,23,,,,,
GL0001_52,UN0246,GL0001,大般若波羅蜜多經,52,28,,,,,
GL0001_53,UN0246,GL0001,大般若波羅蜜多經,53,26,,,,,
GL0001_54,UN0246,GL0001,大般若波羅蜜多經,54,26,,,,,
GL0001_55,UN0246,GL0001,大般若波羅蜜多經,55,28,,,,,
GL0001_56,UN0246,GL0001,大般若波羅蜜多經,56,26,,,,,
GL0001_57,UN0246,GL0001,大般若波羅蜜多經,57,25,,,,,
GL0001_58,UN0246,GL0001,大般若波羅蜜多經,58,25,,,,,
GL0001_59,UN0246,GL0001,大般若波羅蜜多經,59,25,,,,,
GL0001_60,UN0246,GL0001,大般若波羅蜜多經,60,26,,,,,
GL0001_61,UN0246,GL0001,大般若波羅蜜多經,61,26,,,,,
GL0001_62,UN0246,GL0001,大般若波羅蜜多經,62,24,,,,,
