name,unified_sutra_code,sutra_code,sutra_name,reel_num,page_count,start_volume,start_page,end_volume,end_page,remark
HW_1_0,UN_246,HW_1,大般若波羅蜜多經,0,,1,2,1,6,貞觀三藏聖教序
HW_1_1,UN_246,HW_1,大般若波羅蜜多經,1,,1,6,1,22,
HW_1_2,UN_246,HW_1,大般若波羅蜜多經,2,,1,24,1,45,
HW_1_3,UN_246,HW_1,大般若波羅蜜多經,3,,1,47,1,66,
HW_1_4,UN_246,HW_1,大般若波羅蜜多經,4,,1,68,1,87,
HW_1_5,UN_246,HW_1,大般若波羅蜜多經,5,,1,89,1,108,
HW_1_6,UN_246,HW_1,大般若波羅蜜多經,6,,1,110,1,130,
HW_1_7,UN_246,HW_1,大般若波羅蜜多經,7,,1,132,1,151,
HW_1_8,UN_246,HW_1,大般若波羅蜜多經,8,,1,153,1,172,
HW_1_9,UN_246,HW_1,大般若波羅蜜多經,9,,1,174,1,194,
HW_1_10,UN_246,HW_1,大般若波羅蜜多經,10,,1,196,1,214,
HW_1_11,UN_246,HW_1,大般若波羅蜜多經,11,,1,216,1,236,
HW_1_12,UN_246,HW_1,大般若波羅蜜多經,12,,1,238,1,258,
HW_1_13,UN_246,HW_1,大般若波羅蜜多經,13,,1,260,1,279,
HW_1_14,UN_246,HW_1,大般若波羅蜜多經,14,,1,281,1,301,
HW_1_15,UN_246,HW_1,大般若波羅蜜多經,15,,1,303,1,323,
HW_1_16,UN_246,HW_1,大般若波羅蜜多經,16,,1,325,1,344,
HW_1_17,UN_246,HW_1,大般若波羅蜜多經,17,,1,346,1,364,
HW_1_18,UN_246,HW_1,大般若波羅蜜多經,18,,1,366,1,388,
HW_1_19,UN_246,HW_1,大般若波羅蜜多經,19,,1,390,1,410,
HW_1_20,UN_246,HW_1,大般若波羅蜜多經,20,,1,412,1,434,
HW_1_21,UN_246,HW_1,大般若波羅蜜多經,21,,1,436,1,457,
HW_1_22,UN_246,HW_1,大般若波羅蜜多經,22,,1,459,1,481,
HW_1_23,UN_246,HW_1,大般若波羅蜜多經,23,,1,483,1,501,
HW_1_24,UN_246,HW_1,大般若波羅蜜多經,24,,1,503,1,521,
HW_1_25,UN_246,HW_1,大般若波羅蜜多經,25,,2,2,2,21,
