name,unified_sutra_code,sutra_code,sutra_name,reel_num,page_count,start_volume,start_page,end_volume,end_page,remark
KB0001_260,UN0246,KB0001,大般若波羅蜜多經,260,,1,1,1,19,1頁經文不全
KB0001_581,UN0246,KB0001,大般若波羅蜜多經,581,,2,1,2,21,1頁經文不全
KB0002_111,UN0342,KB0002,大寶積,111,,3,1,3,30,
KB0003_43,UN0432,KB0003,大方等大集經,43,,4,1,4,36,
KB0004_7,UN0292,KB0004,法華經,7,,5,1,5,11,
KB0005_1,UN0299,KB0005,阿惟越致遮經,1,,6,1,6,40,
KB0006_1,UN1012,KB0006,大雲請雨品經,1,,7,1,7,32,卷末寫的是大雲經請雨品第六十四，第32也和第33頁好像重複
KB0007_30,UN0102,KB0007,雜阿含經,30,,8,1,8,6,疑似掃描原因，第1、2、3、5頁頁尾內容有缺失，第6頁頁首內容有缺失，第4頁頁首頁尾都有內容缺失
KB0007_39,UN0102,KB0007,雜阿含經,39,,9,1,9,5,缺失卷第31-38；疑似掃描原因，第1-4頁頁尾內容有缺失
KB0008_19,UN0184,KB0008,佛本行集經,19,,10,1,10,26,
KB0009_46,UN14961,KB0009,十誦律,46,,11,1,11,55,
KB0010_13,,KB0010,禦制秘藏詮,13,,12,1,12,23,
