name,unified_sutra_code,sutra_code,sutra_name,reel_num,page_count,start_volume,start_page,end_volume,end_page,remark
LC_1_110,UN_246,LC_1,大般若波羅蜜多經,110,24,1,1,1,24,
LC_1_300,UN_246,LC_1,大般若波羅蜜多經,300,41,1,25,1,45,
LC_1_355,UN_246,LC_1,大般若波羅蜜多經,355,19,1,46,1,64,卷首缺失
LC_1_481,UN_246,LC_1,大般若波羅蜜多經,481,22,1,65,1,86,
LC_2_1,UN_249,LC_2,摩訶般若波羅蜜經,1,,1,87,1,121,
LC_2_2,UN_249,LC_2,摩訶般若波羅蜜經,2,,1,122,1,154,
LC_2_3,UN_249,LC_2,摩訶般若波羅蜜經,3,,1,155,1,183,
LC_2_4,UN_249,LC_2,摩訶般若波羅蜜經,4,,1,184,1,219,
LC_2_5,UN_249,LC_2,摩訶般若波羅蜜經,5,,1,220,1,258,
LC_2_6,UN_249,LC_2,摩訶般若波羅蜜經,6,,1,259,1,299,
LC_2_7,UN_249,LC_2,摩訶般若波羅蜜經,7,,1,300,1,341,
LC_2_8,UN_249,LC_2,摩訶般若波羅蜜經,8,,1,342,1,372,
LC_2_9,UN_249,LC_2,摩訶般若波羅蜜經,9,,1,373,1,403,
LC_2_10,UN_249,LC_2,摩訶般若波羅蜜經,10,,1,404,1,435,
LC_2_16,UN_249,LC_2,摩訶般若波羅蜜經,16,,1,436,1,464,
LC_2_24,UN_249,LC_2,摩訶般若波羅蜜經,24,,1,465,1,501,
LC_3_1,UN_248,LC_3,光讃經,1,35,1,502,1,526,
LC_3_2,UN_248,LC_3,光讃經,2,33,1,527,1,543,正文首位：光讃般若波羅蜜行空品第三之一；結束部份經名為：光讃經卷第二
LC_3_6,UN_248,LC_3,光讃經,6,41,1,544,1,580,
LC_4_4,UN_250,LC_4,道行般若經,4,,1,581,1,597,
LC_5_1,UN_256,LC_5,勝天王般若波羅蜜經,1,,2,1,2,32,
LC_5_2,UN_256,LC_5,勝天王般若波羅蜜經,2,,2,33,2,63,
LC_5_3,UN_256,LC_5,勝天王般若波羅蜜經,3,,2,64,2,90,
LC_5_4,UN_256,LC_5,勝天王般若波羅蜜經,4,,2,91,2,113,
LC_5_5,UN_256,LC_5,勝天王般若波羅蜜經,5,,2,114,2,137,
LC_5_6,UN_256,LC_5,勝天王般若波羅蜜經,6,,2,138,2,157,
