name,unified_sutra_code,sutra_code,sutra_name,reel_num,page_count,start_volume,start_page,end_volume,end_page,remark
QD_1_47,UN_309,QD_1,大方廣佛華嚴經,47,,1,20,1,27,27-30頁經文不全
QD_1_24,UN_309,QD_1,大方廣佛華嚴經,24,,1,27,1,28,
QD_1_26,UN_309,QD_1,大方廣佛華嚴經,26,,1,29,1,29,因為經文殘缺看不清起始頁碼和下卷終止頁碼
QD_1_51,UN_309,QD_1,大方廣佛華嚴經,51,,1,30,1,30,
QD_2_2,UN_292,QD_2,妙法蓮華經,2,,1,31,1,35,
QD_3_1,UN_855,QD_3,積讃大乘功德經,1,,1,36,1,39,
QD_4_13,UN_1387,QD_4,大法炬陀羅尼經,13,,1,39,1,47,
QD_5_1,UN_216,QD_5,大方便佛報恩經,1,,1,47,1,52,48頁經文不全
QD_6_36,UN_28,QD_6,中阿含經,36,,1,52,1,63,
QD_7_13,UN_1612,QD_7,阿毗達磨發智論,13,,1,64,1,74,
QD_8_1,UN_954,QD_8,佛說大乘聖无量壽決定光明王如來陀羅尼經,1,,1,74,1,77,75-80頁經文不全
QD_9_6,UN_3904,QD_9,一切佛菩薩名集,6,,1,77,1,79,
QD_10_1,UN_293,QD_10,妙法蓮華經,1,,1,80,1,86,80，87，101，102頁經文不全
QD_10_1,UN_293,QD_10,妙法蓮華經,1,,1,87,1,101,用甲乙標註，可能是上下卷
QD_10_3,UN_293,QD_10,妙法蓮華經,3,,1,101,1,108,
QD_10_3,UN_293,QD_10,妙法蓮華經,3,,1,109,1,116,109，110頁經文不全
QD_10_4,UN_293,QD_10,妙法蓮華經,4,,1,116,1,125,126，127頁經文不全
QD_10_4,UN_293,QD_10,妙法蓮華經,4,,1,126,1,151,142，152-154頁經文不全
QD_10_5,UN_293,QD_10,妙法蓮華經,5,,1,152,1,163,
QD_10_7,UN_293,QD_10,妙法蓮華經,7,,1,164,1,165,164-167頁經文不全
QD_10_8,UN_293,QD_10,妙法蓮華經,8,,1,166,1,169,
QD_10_8,UN_293,QD_10,妙法蓮華經,8,,1,170,1,173,173-174頁經文不全
QD_10_8,UN_293,QD_10,妙法蓮華經,8,,1,174,1,183,181-182頁經文不全
QD_10_1,UN_293,QD_10,妙法蓮華經,1,,1,184,1,192,
QD_11_8,UN_216,QD_11,大方便佛報恩經,8,,1,193,1,193,193頁經文不全
QD_12_1,UN_1004,QD_12,佛母大金曜孔雀明王經,1,,1,194,1,195,卷上
QD_13_1,UN_513,QD_13,佛說八師經,1,,1,195,1,197,195-198頁經文不全
QD_14_1,UN_48142,QD_14,佛說觀世音經,1,,1,198,1,199,
QD_15_1,UN_48141,QD_15,高王觀世音經,1,,1,200,1,200,
QD_16_1,UN_3904,QD_16,佛名集,1,,1,201,1,203,
QD_17_4,UN_1998,QD_17,大方廣佛花嚴經疏,4,,1,204,1,223,卷下
QD_18_1,UN_19991,QD_18,大方廣佛花嚴經隨疏演義鈔,1,,1,224,1,240,卷上
QD_18_1,UN_19991,QD_18,大方廣佛花嚴經隨疏演義鈔,1,,1,241,1,254,卷下
QD_18_5,UN_19991,QD_18,大方廣佛花嚴經隨疏演義鈔,5,,1,255,1,272,卷上半
QD_18_5,UN_19991,QD_18,大方廣佛花嚴經隨疏演義鈔,5,,1,273,1,281,卷上
QD_19_1,,QD_19,上生經預疏文,1,,1,282,1,288,
QD_20_10,UN_2540,QD_20,釋摩訶衍論通贊疏,10,,1,289,1,306,289-290頁經文不全
QD_21_1,,QD_21,釋摩訶衍論通贊疏科,1,,1,307,1,312,307頁經文不全
QD_22_3,UN_24522,QD_22,成唯識議論述記應新抄科文,3,,1,313,1,331,313，323-327頁經文不全
QD_23_2,,QD_23,法華經玄贊會古通今新抄,2,,1,332,1,354,332頁經文不全
QD_23_6,,QD_23,法華經玄贊會古通今新抄,6,,1,356,1,274,356頁經文不全
QD_24_8,UN_2097,QD_24,涅槃義記,8,,1,275,1,412,
QD_25_1,,QD_25,八師經報應記,1,,1,413,1,413,
QD_26_1,UN_1654,QD_26,成唯識論,1,,1,414,1,421,
QD_27_1,UN_954,QD_27,佛說大乘聖无量壽決定光明王如來陀羅尼經,1,,1,422,1,423,
QD_28_1,,QD_28,勸懺悔文、略是戒相儀、毗奈耶藏近事優婆塞五戒本,1,,1,424,1,430,424-425頁經文不全
QD_29_3,,QD_29,大方廣佛花嚴經隨疏演義鈔玄鏡記,3,,1,431,1,432,
QD_30_1,,QD_30,大方廣佛花嚴經十迴向品疏,1,,1,433,1,442,
QD_31_1,UN_1847,QD_31,仁王護國般若波羅蜜多經科文,1,,1,443,1,444,
QD_32_1,,QD_32,科文殘卷,1,,1,445,1,446,
QD_33_1,UN_4828,QD_33,佛說延壽經,1,,1,446,1,446,
QD_34_1,,QD_34,蒙求,1,,1,447,1,450,
QD_35_1,,QD_35,新雕諸親讃壹策,1,,1,451,1,451,
QD_36_1,,QD_36,玉泉寺菩薩戒壇所牒,1,,1,452,1,454,
QD_37_1,,QD_37,菩薩戒壇所牒,1,,1,455,1,455,
QD_38_1,,QD_38,蔔筮書殘葉,1,,1,456,1,456,
QD_39_1,UN_1098,QD_39,佛頂心觀世音菩薩大陀羅尼經,1,,1,457,1,462,455，460，476，477頁經文不全
