name,unified_sutra_code,sutra_code,sutra_name,reel_num,page_count,start_volume,start_page,end_volume,end_page,remark
SZ0001_,,SZ0001,宋藏遺珍敘目,,,1,1,1,11,
SZ0002_1,UN0351,SZ0002,大聖文殊師利菩薩佛剎功德莊嚴經,1,,1,12,1,55,
SZ0002_2,UN0351,SZ0002,大聖文殊師利菩薩佛剎功德莊嚴經,2,,1,56,1,134,
SZ0002_3,UN0351,SZ0002,大聖文殊師利菩薩佛剎功德莊嚴經,3,,1,135,1,205,
SZ0003_1,UN0761,SZ0003,大方廣如來藏經,1,,2,1,2,70,
SZ0004_1,UN0973,SZ0004,金剛頂經一字頂輪王瑜伽一切時處念誦成佛儀軌,1,,2,71,2,120,
SZ0005_1,UN1062,SZ0005,金剛頂降三世大儀軌法王教中觀自在菩薩心真言一切如來蓮華大曼荼羅品,1,,3,1,3,18,
SZ0006_1,UN1189,SZ0006,修習般若波羅蜜菩薩觀行念誦儀軌,1,,3,19,3,56,56頁空白
SZ0007_1,UN0125,SZ0007,佛說十力經,1,,3,57,3,96,佛說十力經序
SZ0008_1,UN1020,SZ0008,佛說迴向輪經,1,,3,97,3,112,112頁空白
SZ0009_1,UN0120,SZ0009,佛說勝義空經,1,,3,113,3,116,
SZ0010_0,UN0128,SZ0010,佛說清淨心經,0,,3,117,3,122,大宋新譯三藏聖教序
SZ0010_1,UN0128,SZ0010,佛說清淨心經,1,,3,122,3,132,
SZ0011_1,,SZ0011,大唐正元新譯十地等經記,1,,4,1,4,27,
SZ0012_1,UN0318,SZ0012,佛說十地經,1,,4,28,4,86,86頁空白
SZ0012_2,UN0318,SZ0012,佛說十地經,2,,4,87,4,150,
SZ0012_3,UN0318,SZ0012,佛說十地經,3,,4,151,4,214,
SZ0012_4,UN0318,SZ0012,佛說十地經,4,,5,1,5,60,60頁空白
SZ0012_5,UN0318,SZ0012,佛說十地經,5,,5,61,5,122,122頁空白
SZ0012_6,UN0318,SZ0012,佛說十地經,6,,5,123,5,176,
SZ0012_7,UN0318,SZ0012,佛說十地經,7,,6,1,6,52,52頁空白
SZ0012_8,UN0318,SZ0012,佛說十地經,8,,6,53,6,102,
SZ0012_9,UN0318,SZ0012,佛說十地經,9,,6,103,6,156,
SZ0013_0,UN0501,SZ0013,金色童子因緣經,0,,7,1,7,6,大宋新譯三藏聖教序
SZ0013_1,UN0501,SZ0013,金色童子因緣經,1,,7,6,7,42,42頁几个字模糊
SZ0013_2,UN0501,SZ0013,金色童子因緣經,2,,7,43,7,58,58頁空白
SZ0013_3,UN0501,SZ0013,金色童子因緣經,3,,7,59,7,74,
SZ0013_4,UN0501,SZ0013,金色童子因緣經,4,,7,75,7,102,102頁空白
SZ0013_5,UN0501,SZ0013,金色童子因緣經,5,,7,103,7,132,
SZ0013_6,UN0501,SZ0013,金色童子因緣經,6,,8,1,8,30,
SZ0013_7,UN0501,SZ0013,金色童子因緣經,7,,8,31,8,64,64空白頁
SZ0013_8,UN0501,SZ0013,金色童子因緣經,8,,8,65,8,100,100空白頁
SZ0013_9,UN0501,SZ0013,金色童子因緣經,9,,8,101,8,129,
SZ0013_10,UN0501,SZ0013,金色童子因緣經,10,,9,1,9,40,40空白頁
SZ0013_11,UN0501,SZ0013,金色童子因緣經,11,,9,41,9,82,
SZ0013_12,UN0501,SZ0013,金色童子因緣經,12,,9,83,9,120,
SZ0014_0,UN0290,SZ0014,佛說開覺自性般若波羅蜜多經,0,,10,1,10,6,大宋新譯三藏聖教序
SZ0014_1,UN0290,SZ0014,佛說開覺自性般若波羅蜜多經,1,,10,6,10,36,36空白頁
SZ0014_2,UN0290,SZ0014,佛說開覺自性般若波羅蜜多經,2,,10,37,10,70,
SZ0014_3,UN0290,SZ0014,佛說開覺自性般若波羅蜜多經,3,,10,71,10,106,106空白頁
SZ0014_4,UN0290,SZ0014,佛說開覺自性般若波羅蜜多經,4,,10,107,10,144,
SZ0015_1,UN0548,SZ0015,諸法集要經,1,,11,1,11,42,
SZ0015_2,UN0548,SZ0015,諸法集要經,2,,11,43,11,88,88空白頁
SZ0015_3,UN0548,SZ0015,諸法集要經,3,,11,89,11,136,
SZ0015_4,UN0548,SZ0015,諸法集要經,4,,11,137,11,184,184空白頁
SZ0015_5,UN0548,SZ0015,諸法集要經,5,,11,185,11,222,
SZ0015_6,UN0548,SZ0015,諸法集要經,6,,12,1,12,36,
SZ0015_7,UN0548,SZ0015,諸法集要經,7,,12,37,12,68,
SZ0015_8,UN0548,SZ0015,諸法集要經,8,,12,69,12,114,P114为空白页
SZ0015_9,UN0548,SZ0015,諸法集要經,9,,12,115,12,154,P154为空白页
SZ0015_10,UN0548,SZ0015,諸法集要經,10,,12,155,12,202,
SZ0016_0,UN0352,SZ0016,父子合集經,0,,13,1,13,6,大宋新譯三藏聖教序
SZ0016_1,UN0352,SZ0016,父子合集經,1,,13,6,13,54,P54为空白页
SZ0016_2,UN0352,SZ0016,父子合集經,2,,13,55,13,90,
SZ0016_3,UN0352,SZ0016,父子合集經,3,,13,91,13,136,P136为空白页
SZ0016_4,UN0352,SZ0016,父子合集經,4,,13,137,13,172,
SZ0016_5,UN0352,SZ0016,父子合集經,5,,13,173,13,205,
SZ0016_6,UN0352,SZ0016,父子合集經,6,,14,1,14,36,
SZ0016_7,UN0352,SZ0016,父子合集經,7,,14,37,14,72,
SZ0016_8,UN0352,SZ0016,父子合集經,8,,14,73,14,112,
SZ0016_9,UN0352,SZ0016,父子合集經,9,,14,113,14,140,
SZ0016_10,UN0352,SZ0016,父子合集經,10,,14,141,14,178,
SZ0016_11,UN0352,SZ0016,父子合集經,11,,15,1,15,24,P24是空白页
SZ0016_12,UN0352,SZ0016,父子合集經,12,,15,25,15,46,
SZ0016_13,UN0352,SZ0016,父子合集經,13,,15,47,15,76,P76是空白页
SZ0016_14,UN0352,SZ0016,父子合集經,14,,15,77,15,106,P106是空白页
SZ0016_15,UN0352,SZ0016,父子合集經,15,,15,107,15,131,
SZ0016_16,UN0352,SZ0016,父子合集經,16,,16,1,16,20,
SZ0016_17,UN0352,SZ0016,父子合集經,17,,16,21,16,42,P42为空白页
SZ0016_18,UN0352,SZ0016,父子合集經,18,,16,43,16,60,P60为空白页
SZ0016_19,UN0352,SZ0016,父子合集經,19,,16,61,16,80,P80为空白页
SZ0016_20,UN0352,SZ0016,父子合集經,20,,16,81,16,105,
SZ0017_2,UN0466,SZ0017,佛說大乘僧伽吒法義經,2,,17,1,17,40,
SZ0017_6,UN0466,SZ0017,佛說大乘僧伽吒法義經,6,,17,41,17,80,
SZ0017_7,UN0466,SZ0017,佛說大乘僧伽吒法義經,7,,17,81,17,122,P122为空白页
SZ0018_1,UN1555,SZ0018,佛說清淨毗奈耶最上大乘經,1,,17,123,17,152,
SZ0018_2,UN1555,SZ0018,佛說清淨毗奈耶最上大乘經,2,,17,153,17,188,P188为空白页
SZ0019_1,UN0110,SZ0019,佛說隨勇尊者經,1,,17,189,17,202,
SZ0020_1,UN1018,SZ0020,仁王般若陀羅尼釋,1,,17,203,17,232,
SZ0021_1,UN2788,SZ0021,觀心論,1,,17,233,17,247,
SZ0022_1,UN3969,SZ0022,大唐正元續開元釋教錄,1,,18,1,18,130,
SZ0022_2,UN3969,SZ0022,大唐正元續開元釋教錄,2,,19,1,19,122,122页为空白页
SZ0022_3,UN3969,SZ0022,大唐正元續開元釋教錄,3,,19,123,19,168,123页只有卷名，无经文
SZ0023_1,,SZ0023,御製蓮華心輪迴文偈頌,1,,20,1,20,44,44页为空白页
SZ0023_2,,SZ0023,御製蓮華心輪迴文偈頌,2,,20,45,20,82,
SZ0023_3,,SZ0023,御製蓮華心輪迴文偈頌,3,,20,83,20,118,
SZ0023_4,,SZ0023,御製蓮華心輪迴文偈頌,4,,20,119,20,153,
SZ0023_5,,SZ0023,御製蓮華心輪迴文偈頌,5,,21,2,21,37,第1页空白页，未计在内
SZ0023_6,,SZ0023,御製蓮華心輪迴文偈頌,6,,21,38,21,73,
SZ0023_7,,SZ0023,御製蓮華心輪迴文偈頌,7,,22,1,22,38,38页为空白页
SZ0023_8,,SZ0023,御製蓮華心輪迴文偈頌,8,,22,39,22,74,末页应该是卷八，写的是卷五
SZ0023_9,,SZ0023,御製蓮華心輪迴文偈頌,9,,22,75,22,116,
SZ0023_10,,SZ0023,御製蓮華心輪迴文偈頌,10,,22,117,22,154,
SZ0023_11,,SZ0023,御製蓮華心輪迴文偈頌,11,,22,155,22,190,
SZ0023_12,,SZ0023,御製蓮華心輪迴文偈頌,12,,22,191,22,226,226页为空白页
SZ0023_13,,SZ0023,御製蓮華心輪迴文偈頌,13,,22,227,22,264,
SZ0023_14,,SZ0023,御製蓮華心輪迴文偈頌,14,,22,265,22,284,
SZ0023_15,,SZ0023,御製蓮華心輪迴文偈頌,15,,23,1,23,38,
SZ0023_16,,SZ0023,御製蓮華心輪迴文偈頌,16,,23,39,23,74,
SZ0023_17,,SZ0023,御製蓮華心輪迴文偈頌,17,,23,75,23,112,
SZ0023_18,,SZ0023,御製蓮華心輪迴文偈頌,18,,23,113,23,152,152页为空白页
SZ0023_19,,SZ0023,御製蓮華心輪迴文偈頌,19,,23,153,23,188,188页为空白页
SZ0023_20,,SZ0023,御製蓮華心輪迴文偈頌,20,,23,189,23,224,224页为空白页
SZ0023_21,,SZ0023,御製蓮華心輪迴文偈頌,21,,24,1,24,8,
SZ0023_22,,SZ0023,御製蓮華心輪迴文偈頌,22,,24,9,24,16,16页为空白页
SZ0023_23,,SZ0023,御製蓮華心輪迴文偈頌,23,,24,17,24,24,
SZ0023_24,,SZ0023,御製蓮華心輪迴文偈頌,24,,24,25,24,38,38页为空白页
SZ0023_25,,SZ0023,御製蓮華心輪迴文偈頌,25,,24,39,24,52,
SZ0024_1,,SZ0024,御注金剛般若經疏宣演,1,,25,3,25,122,第1页为经名页，第2页为空白页，这两页未计在内
SZ0024_5,,SZ0024,御注金剛般若經疏宣演,5,,26,1,26,112,
SZ0024_3,,SZ0024,御注金剛般若經疏宣演,3,,27,1,27,118,卷下
SZ0025_1,UN2137,SZ0025,維摩疏記,1,,28,3,28,64,第1页为经名，第2页空白，这两页没有计入起始页码；64页空白
SZ0025_2,UN2137,SZ0025,維摩疏記,2,,28,65,28,128,128页空白
SZ0025_3,UN2137,SZ0025,維摩疏記,3,,28,129,28,191,
SZ0025_4,UN2137,SZ0025,維摩疏記,4,,29,1,29,46,
SZ0025_5,UN2137,SZ0025,維摩疏記,5,,29,47,29,114,114页空白
SZ0025_6,UN2137,SZ0025,維摩疏記,6,,29,115,29,169,
SZ0026_1,,SZ0026,雙峰山曹侯溪寶林傳,1,,30,3,30,70,第1页为经名，第2页为空白页，这两页没有计入起始页内;第3页上有“以上闕三纸”
SZ0026_2,,SZ0026,雙峰山曹侯溪寶林傳,2,,30,71,30,134,
SZ0026_3,,SZ0026,雙峰山曹侯溪寶林傳,3,,30,135,30,244,卷首文字缺三行
SZ0026_4,,SZ0026,雙峰山曹侯溪寶林傳,4,,31,1,31,88,
