name,unified_sutra_code,sutra_code,sutra_name,reel_num,page_count,start_volume,start_page,end_volume,end_page,remark
YB0001_0,UN0246,YB0001,大般若波羅蜜多經,0,,1,1,1,2,大般若經初會序
YB0001_1,UN0246,YB0001,大般若波羅蜜多經,1,,1,3,1,22,
YB0001_2,UN0246,YB0001,大般若波羅蜜多經,2,,1,23,1,48,
YB0001_3,UN0246,YB0001,大般若波羅蜜多經,3,,1,49,1,72,
YB0001_4,UN0246,YB0001,大般若波羅蜜多經,4,,1,73,1,97,
YB0001_5,UN0246,YB0001,大般若波羅蜜多經,5,,1,99,1,122,
YB0001_6,UN0246,YB0001,大般若波羅蜜多經,6,,1,123,1,147,
YB0001_7,UN0246,YB0001,大般若波羅蜜多經,7,,1,149,1,172,
YB0001_8,UN0246,YB0001,大般若波羅蜜多經,8,,1,173,1,196,
YB0001_9,UN0246,YB0001,大般若波羅蜜多經,9,,1,197,1,221,
YB0001_10,UN0246,YB0001,大般若波羅蜜多經,10,,1,223,1,246,
YB0001_11,UN0246,YB0001,大般若波羅蜜多經,11,,1,247,1,271,
YB0001_12,UN0246,YB0001,大般若波羅蜜多經,12,,1,273,1,297,
YB0001_13,UN0246,YB0001,大般若波羅蜜多經,13,,1,299,1,323,
YB0001_14,UN0246,YB0001,大般若波羅蜜多經,14,,1,325,1,349,
YB0001_15,UN0246,YB0001,大般若波羅蜜多經,15,,1,351,1,376,
YB0001_16,UN0246,YB0001,大般若波羅蜜多經,16,,1,377,1,400,
YB0001_17,UN0246,YB0001,大般若波羅蜜多經,17,,1,401,1,423,
YB0001_18,UN0246,YB0001,大般若波羅蜜多經,18,,1,425,1,451,
YB0001_19,UN0246,YB0001,大般若波羅蜜多經,19,,1,453,1,477,
YB0001_20,UN0246,YB0001,大般若波羅蜜多經,20,,1,479,1,505,
YB0001_21,UN0246,YB0001,大般若波羅蜜多經,21,,1,507,1,533,
YB0001_22,UN0246,YB0001,大般若波羅蜜多經,22,,1,535,1,561,
YB0001_23,UN0246,YB0001,大般若波羅蜜多經,23,,1,563,1,585,
YB0001_24,UN0246,YB0001,大般若波羅蜜多經,24,,1,587,1,609,
YB0001_25,UN0246,YB0001,大般若波羅蜜多經,25,,1,611,1,634,
YB0001_26,UN0246,YB0001,大般若波羅蜜多經,26,,1,635,1,657,
YB0001_27,UN0246,YB0001,大般若波羅蜜多經,27,,1,659,1,682,
YB0001_28,UN0246,YB0001,大般若波羅蜜多經,28,,1,683,1,707,
YB0001_29,UN0246,YB0001,大般若波羅蜜多經,29,,1,709,1,733,
YB0001_30,UN0246,YB0001,大般若波羅蜜多經,30,,1,735,1,757,
YB0001_31,UN0246,YB0001,大般若波羅蜜多經,31,,1,759,1,783,
YB0001_32,UN0246,YB0001,大般若波羅蜜多經,32,,1,785,1,809,
YB0001_33,UN0246,YB0001,大般若波羅蜜多經,33,,1,811,1,834,
YB0001_34,UN0246,YB0001,大般若波羅蜜多經,34,,1,835,1,858,
YB0001_35,UN0246,YB0001,大般若波羅蜜多經,35,,2,1,2,24,
YB0001_36,UN0246,YB0001,大般若波羅蜜多經,36,,2,25,2,49,
YB0001_37,UN0246,YB0001,大般若波羅蜜多經,37,,2,51,2,77,
YB0001_38,UN0246,YB0001,大般若波羅蜜多經,38,,2,79,2,106,
YB0001_39,UN0246,YB0001,大般若波羅蜜多經,39,,2,107,2,132,
YB0001_40,UN0246,YB0001,大般若波羅蜜多經,40,,2,133,2,155,
YB0001_41,UN0246,YB0001,大般若波羅蜜多經,41,,2,157,2,184,
YB0001_42,UN0246,YB0001,大般若波羅蜜多經,42,,2,185,2,207,
YB0001_43,UN0246,YB0001,大般若波羅蜜多經,43,,2,209,2,233,
YB0001_44,UN0246,YB0001,大般若波羅蜜多經,44,,2,235,2,260,
YB0001_45,UN0246,YB0001,大般若波羅蜜多經,45,,2,261,2,286,
YB0001_46,UN0246,YB0001,大般若波羅蜜多經,46,,2,287,2,312,
YB0001_47,UN0246,YB0001,大般若波羅蜜多經,47,,2,313,2,336,
YB0001_48,UN0246,YB0001,大般若波羅蜜多經,48,,2,337,2,360,
YB0001_49,UN0246,YB0001,大般若波羅蜜多經,49,,2,361,2,386,
YB0001_50,UN0246,YB0001,大般若波羅蜜多經,50,,2,387,2,409,
YB0001_51,UN0246,YB0001,大般若波羅蜜多經,51,,2,411,2,432,
YB0001_52,UN0246,YB0001,大般若波羅蜜多經,52,,2,433,2,459,
YB0001_53,UN0246,YB0001,大般若波羅蜜多經,53,,2,461,2,486,
YB0001_54,UN0246,YB0001,大般若波羅蜜多經,54,,2,487,2,511,
YB0001_55,UN0246,YB0001,大般若波羅蜜多經,55,,2,513,2,538,
YB0001_56,UN0246,YB0001,大般若波羅蜜多經,56,,2,539,2,563,
YB0001_57,UN0246,YB0001,大般若波羅蜜多經,57,,2,565,2,588,
YB0001_58,UN0246,YB0001,大般若波羅蜜多經,58,,2,589,2,611,
YB0001_59,UN0246,YB0001,大般若波羅蜜多經,59,,2,613,2,635,
YB0001_60,UN0246,YB0001,大般若波羅蜜多經,60,,2,637,2,660,
YB0001_61,UN0246,YB0001,大般若波羅蜜多經,61,,2,661,2,684,
YB0001_62,UN0246,YB0001,大般若波羅蜜多經,62,,2,685,2,706,
YB0001_63,UN0246,YB0001,大般若波羅蜜多經,63,,2,707,2,729,
YB0001_64,UN0246,YB0001,大般若波羅蜜多經,64,,2,731,2,754,
YB0001_65,UN0246,YB0001,大般若波羅蜜多經,65,,2,755,2,780,
YB0001_66,UN0246,YB0001,大般若波羅蜜多經,66,,2,781,2,804,
YB0001_67,UN0246,YB0001,大般若波羅蜜多經,67,,2,805,2,828,
YB0001_68,UN0246,YB0001,大般若波羅蜜多經,68,,2,829,2,852,
YB0001_69,UN0246,YB0001,大般若波羅蜜多經,69,,2,853,2,876,
YB0001_70,UN0246,YB0001,大般若波羅蜜多經,70,,2,877,2,901,
YB0001_71,UN0246,YB0001,大般若波羅蜜多經,71,,2,903,2,927,
YB0001_72,UN0246,YB0001,大般若波羅蜜多經,72,,2,929,2,949,
YB0001_73,UN0246,YB0001,大般若波羅蜜多經,73,,2,951,2,973,
YB0001_74,UN0246,YB0001,大般若波羅蜜多經,74,,3,1,3,25,
YB0001_75,UN0246,YB0001,大般若波羅蜜多經,75,,3,27,3,49,
YB0001_76,UN0246,YB0001,大般若波羅蜜多經,76,,3,51,3,70,
YB0001_77,UN0246,YB0001,大般若波羅蜜多經,77,,3,71,3,92,
YB0001_78,UN0246,YB0001,大般若波羅蜜多經,78,,3,93,3,115,
YB0001_79,UN0246,YB0001,大般若波羅蜜多經,79,,3,117,3,139,
YB0001_80,UN0246,YB0001,大般若波羅蜜多經,80,,3,141,3,163,
YB0001_81,UN0246,YB0001,大般若波羅蜜多經,81,,3,165,3,187,
YB0001_82,UN0246,YB0001,大般若波羅蜜多經,82,,3,189,3,210,
YB0001_83,UN0246,YB0001,大般若波羅蜜多經,83,,3,211,3,232,
YB0001_84,UN0246,YB0001,大般若波羅蜜多經,84,,3,233,3,255,
YB0001_85,UN0246,YB0001,大般若波羅蜜多經,85,,3,257,3,279,
YB0001_86,UN0246,YB0001,大般若波羅蜜多經,86,,3,281,3,303,
YB0001_87,UN0246,YB0001,大般若波羅蜜多經,87,,3,305,3,327,
YB0001_88,UN0246,YB0001,大般若波羅蜜多經,88,,3,329,3,351,
YB0001_89,UN0246,YB0001,大般若波羅蜜多經,89,,3,353,3,375,
YB0001_90,UN0246,YB0001,大般若波羅蜜多經,90,,3,377,3,399,
YB0001_91,UN0246,YB0001,大般若波羅蜜多經,91,,3,401,3,425,
YB0001_92,UN0246,YB0001,大般若波羅蜜多經,92,,3,427,3,449,
YB0001_93,UN0246,YB0001,大般若波羅蜜多經,93,,3,451,3,473,
YB0001_94,UN0246,YB0001,大般若波羅蜜多經,94,,3,475,3,496,
YB0001_95,UN0246,YB0001,大般若波羅蜜多經,95,,3,497,3,518,
YB0001_96,UN0246,YB0001,大般若波羅蜜多經,96,,3,519,3,540,
YB0001_97,UN0246,YB0001,大般若波羅蜜多經,97,,3,541,3,563,
YB0001_98,UN0246,YB0001,大般若波羅蜜多經,98,,3,565,3,587,
YB0001_99,UN0246,YB0001,大般若波羅蜜多經,99,,3,589,3,613,
YB0001_100,UN0246,YB0001,大般若波羅蜜多經,100,,3,615,3,637,
YB0001_101,UN0246,YB0001,大般若波羅蜜多經,101,,3,639,3,660,
YB0001_102,UN0246,YB0001,大般若波羅蜜多經,102,,3,661,3,683,
YB0001_103,UN0246,YB0001,大般若波羅蜜多經,103,,3,685,3,707,
YB0001_104,UN0246,YB0001,大般若波羅蜜多經,104,,3,709,3,730,
YB0001_105,UN0246,YB0001,大般若波羅蜜多經,105,,3,731,3,753,
YB0001_106,UN0246,YB0001,大般若波羅蜜多經,106,,3,755,3,776,
YB0001_107,UN0246,YB0001,大般若波羅蜜多經,107,,3,777,3,799,
YB0001_108,UN0246,YB0001,大般若波羅蜜多經,108,,3,801,3,822,
YB0001_109,UN0246,YB0001,大般若波羅蜜多經,109,,3,823,3,844,
YB0001_110,UN0246,YB0001,大般若波羅蜜多經,110,,3,845,3,868,
YB0001_111,UN0246,YB0001,大般若波羅蜜多經,111,,3,869,3,890,
YB0001_112,UN0246,YB0001,大般若波羅蜜多經,112,,3,891,3,913,
YB0001_113,UN0246,YB0001,大般若波羅蜜多經,113,,3,915,3,938,
YB0001_114,UN0246,YB0001,大般若波羅蜜多經,114,,3,939,3,959,
YB0001_115,UN0246,YB0001,大般若波羅蜜多經,115,,3,961,3,983,
YB0001_116,UN0246,YB0001,大般若波羅蜜多經,116,,4,1,4,21,
YB0001_117,UN0246,YB0001,大般若波羅蜜多經,117,,4,23,4,45,
YB0001_118,UN0246,YB0001,大般若波羅蜜多經,118,,4,47,4,67,
YB0001_119,UN0246,YB0001,大般若波羅蜜多經,119,,4,69,4,91,
YB0001_120,UN0246,YB0001,大般若波羅蜜多經,120,,4,93,4,115,
YB0001_121,UN0246,YB0001,大般若波羅蜜多經,121,,4,117,4,140,
YB0001_122,UN0246,YB0001,大般若波羅蜜多經,122,,4,141,4,163,
YB0001_123,UN0246,YB0001,大般若波羅蜜多經,123,,4,165,4,188,
YB0001_124,UN0246,YB0001,大般若波羅蜜多經,124,,4,189,4,211,
YB0001_125,UN0246,YB0001,大般若波羅蜜多經,125,,4,213,4,235,
YB0001_126,UN0246,YB0001,大般若波羅蜜多經,126,,4,237,4,258,
YB0001_127,UN0246,YB0001,大般若波羅蜜多經,127,,4,259,4,282,
YB0001_128,UN0246,YB0001,大般若波羅蜜多經,128,,4,283,4,304,
YB0001_129,UN0246,YB0001,大般若波羅蜜多經,129,,4,305,4,326,
YB0001_130,UN0246,YB0001,大般若波羅蜜多經,130,,4,327,4,349,
YB0001_131,UN0246,YB0001,大般若波羅蜜多經,131,,4,351,4,371,
YB0001_132,UN0246,YB0001,大般若波羅蜜多經,132,,4,373,4,396,
YB0001_133,UN0246,YB0001,大般若波羅蜜多經,133,,4,397,4,416,
YB0001_134,UN0246,YB0001,大般若波羅蜜多經,134,,4,417,4,438,
YB0001_135,UN0246,YB0001,大般若波羅蜜多經,135,,4,439,4,459,
YB0001_136,UN0246,YB0001,大般若波羅蜜多經,136,,4,461,4,482,
YB0001_137,UN0246,YB0001,大般若波羅蜜多經,137,,4,483,4,504,
YB0001_138,UN0246,YB0001,大般若波羅蜜多經,138,,4,505,4,525,
YB0001_139,UN0246,YB0001,大般若波羅蜜多經,139,,4,527,4,547,
YB0001_140,UN0246,YB0001,大般若波羅蜜多經,140,,4,549,4,569,
YB0001_141,UN0246,YB0001,大般若波羅蜜多經,141,,4,571,4,591,
YB0001_142,UN0246,YB0001,大般若波羅蜜多經,142,,4,593,4,615,
YB0001_143,UN0246,YB0001,大般若波羅蜜多經,143,,4,617,4,638,
YB0001_144,UN0246,YB0001,大般若波羅蜜多經,144,,4,639,4,660,
YB0001_145,UN0246,YB0001,大般若波羅蜜多經,145,,4,661,4,683,
YB0001_146,UN0246,YB0001,大般若波羅蜜多經,146,,4,685,4,705,
YB0001_147,UN0246,YB0001,大般若波羅蜜多經,147,,4,707,4,728,
YB0001_148,UN0246,YB0001,大般若波羅蜜多經,148,,4,729,4,751,
YB0001_149,UN0246,YB0001,大般若波羅蜜多經,149,,4,753,4,773,
YB0001_150,UN0246,YB0001,大般若波羅蜜多經,150,,4,775,4,797,
