name,unified_sutra_code,sutra_code,sutra_name,reel_num,page_count,start_volume,start_page,end_volume,end_page,remark
ZC_1_6,UN_246,ZC_1,大般若波羅蜜多經,6,,1,1,1,27,
ZC_1_17,UN_246,ZC_1,大般若波羅蜜多經,17,,1,29,1,53,
ZC_1_18,UN_246,ZC_1,大般若波羅蜜多經,18,,1,55,1,83,
ZC_1_27,UN_246,ZC_1,大般若波羅蜜多經,27,,1,85,1,110,
ZC_1_28,UN_246,ZC_1,大般若波羅蜜多經,28,,1,111,1,137,
ZC_1_31,UN_246,ZC_1,大般若波羅蜜多經,31,,1,139,1,165,
ZC_1_32,UN_246,ZC_1,大般若波羅蜜多經,32,,1,167,1,192,此卷經文可能不全
ZC_1_35,UN_246,ZC_1,大般若波羅蜜多經,35,,1,193,1,210,此卷經文可能不全
ZC_1_37,UN_246,ZC_1,大般若波羅蜜多經,37,,1,211,1,239,
ZC_1_39,UN_246,ZC_1,大般若波羅蜜多經,39,,1,241,1,268,
ZC_1_44,UN_246,ZC_1,大般若波羅蜜多經,44,,1,269,1,296,
ZC_1_45,UN_246,ZC_1,大般若波羅蜜多經,45,,1,297,1,324,
ZC_1_47,UN_246,ZC_1,大般若波羅蜜多經,47,,1,325,1,350,
ZC_1_51,UN_246,ZC_1,大般若波羅蜜多經,51,,1,351,1,374,
ZC_1_53,UN_246,ZC_1,大般若波羅蜜多經,53,,1,375,1,401,
ZC_1_57,UN_246,ZC_1,大般若波羅蜜多經,57,,1,403,1,428,
ZC_1_59,UN_246,ZC_1,大般若波羅蜜多經,59,,1,429,1,453,
ZC_1_61,UN_246,ZC_1,大般若波羅蜜多經,61,,1,455,1,480,
ZC_1_62,UN_246,ZC_1,大般若波羅蜜多經,62,,1,481,1,496,此卷經文可能不全
ZC_1_68,UN_246,ZC_1,大般若波羅蜜多經,68,,1,497,1,522,
ZC_1_72,UN_246,ZC_1,大般若波羅蜜多經,72,,1,523,1,545,
ZC_1_96,UN_246,ZC_1,大般若波羅蜜多經,96,,1,547,1,570,
ZC_1_103,UN_246,ZC_1,大般若波羅蜜多經,103,,1,571,1,594,
ZC_1_105,UN_246,ZC_1,大般若波羅蜜多經,105,,1,595,1,618,
ZC_1_110,UN_246,ZC_1,大般若波羅蜜多經,110,,1,619,1,644,
ZC_1_131,UN_246,ZC_1,大般若波羅蜜多經,131,,1,645,1,667,
ZC_1_149,UN_246,ZC_1,大般若波羅蜜多經,149,,1,669,1,681,此经卷可能不全
ZC_1_155,UN_246,ZC_1,大般若波羅蜜多經,155,,1,683,1,704,
ZC_1_157,UN_246,ZC_1,大般若波羅蜜多經,157,,1,705,1,728,
ZC_1_174,UN_246,ZC_1,大般若波羅蜜多經,174,,1,729,1,753,
ZC_1_177,UN_246,ZC_1,大般若波羅蜜多經,177,,1,755,1,781,
ZC_1_178,UN_246,ZC_1,大般若波羅蜜多經,178,,1,783,1,808,
ZC_1_181,UN_246,ZC_1,大般若波羅蜜多經,181,,1,809,1,835,
ZC_1_190,UN_246,ZC_1,大般若波羅蜜多經,190,,2,1,2,23,
ZC_1_192,UN_246,ZC_1,大般若波羅蜜多經,192,,2,25,2,48,
ZC_1_203,UN_246,ZC_1,大般若波羅蜜多經,203,,2,49,2,73,
ZC_1_207,UN_246,ZC_1,大般若波羅蜜多經,207,,2,75,2,100,
ZC_1_224,UN_246,ZC_1,大般若波羅蜜多經,224,,2,101,2,124,
ZC_1_225,UN_246,ZC_1,大般若波羅蜜多經,225,,2,125,2,152,
ZC_1_227,UN_246,ZC_1,大般若波羅蜜多經,227,,2,153,2,178,
ZC_1_228,UN_246,ZC_1,大般若波羅蜜多經,228,,2,179,2,203,
ZC_1_230,UN_246,ZC_1,大般若波羅蜜多經,230,,2,205,2,228,
ZC_1_255,UN_246,ZC_1,大般若波羅蜜多經,255,,2,229,2,253,
ZC_1_260,UN_246,ZC_1,大般若波羅蜜多經,260,,2,255,2,278,
ZC_1_263,UN_246,ZC_1,大般若波羅蜜多經,263,,2,279,2,304,
ZC_1_267,UN_246,ZC_1,大般若波羅蜜多經,267,,2,305,2,328,
ZC_1_269,UN_246,ZC_1,大般若波羅蜜多經,269,,2,329,2,353,
ZC_1_294,UN_246,ZC_1,大般若波羅蜜多經,294,,2,355,2,380,
ZC_1_301,UN_246,ZC_1,大般若波羅蜜多經,301,,2,381,2,403,
ZC_1_308,UN_246,ZC_1,大般若波羅蜜多經,308,,2,405,2,428,此經卷可能不全
ZC_1_309,UN_246,ZC_1,大般若波羅蜜多經,309,,2,429,2,452,
ZC_1_323,UN_246,ZC_1,大般若波羅蜜多經,323,,2,453,2,478,
ZC_1_329,UN_246,ZC_1,大般若波羅蜜多經,329,,2,479,2,504,
ZC_1_336,UN_246,ZC_1,大般若波羅蜜多經,336,,2,505,2,529,
ZC_1_337,UN_246,ZC_1,大般若波羅蜜多經,337,,2,531,2,556,
ZC_1_339,UN_246,ZC_1,大般若波羅蜜多經,339,,2,557,2,581,
ZC_1_342,UN_246,ZC_1,大般若波羅蜜多經,342,,2,583,2,608,
ZC_1_347,UN_246,ZC_1,大般若波羅蜜多經,347,,2,609,2,634,
ZC_1_350,UN_246,ZC_1,大般若波羅蜜多經,350,,2,635,2,658,
ZC_1_352,UN_246,ZC_1,大般若波羅蜜多經,352,,2,659,2,686,
ZC_1_360,UN_246,ZC_1,大般若波羅蜜多經,360,,2,687,2,712,
ZC_1_373,UN_246,ZC_1,大般若波羅蜜多經,373,,2,713,2,738,
ZC_1_390,UN_246,ZC_1,大般若波羅蜜多經,390,,2,739,2,764,
ZC_1_395,UN_246,ZC_1,大般若波羅蜜多經,395,,2,765,2,789,
ZC_1_396,UN_246,ZC_1,大般若波羅蜜多經,396,,2,791,2,817,
ZC_1_399,UN_246,ZC_1,大般若波羅蜜多經,399,,2,819,2,835,此經卷可能不全
ZC_1_400,UN_246,ZC_1,大般若波羅蜜多經,400,,3,1,3,23,
ZC_1_404,UN_246,ZC_1,大般若波羅蜜多經,404,,3,25,3,51,
ZC_1_407,UN_246,ZC_1,大般若波羅蜜多經,407,,3,53,3,80,
ZC_1_409,UN_246,ZC_1,大般若波羅蜜多經,409,,3,81,3,106,
ZC_1_410,UN_246,ZC_1,大般若波羅蜜多經,410,,3,107,3,132,
