name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
GL0001,UN0246,GL0001,大般若波羅蜜多經,600,600,,,
GL0002,UN0247,GL0002,放光般若波羅蜜經,20,20,,,
GL0003,UN0249,GL0003,摩訶般若波羅蜜經,27,27,,,
GL0004,UN0248,GL0004,光讚經,10,10,,,
GL0005,UN0252,GL0005,摩訶般若鈔經,5,5,,,
GL0006,UN0250,GL0006,道行般若經,10,10,,,
GL0007,UN0253,GL0007,小品般若波羅蜜經,10,10,,,
GL0008,UN0256,GL0008,勝天王般若波羅蜜經,7,7,,,
GL0009,UN0251,GL0009,大明度經,6,6,,,
GL0010,UN0257,GL0010,文殊師利所說摩訶般若波羅蜜經,2,2,,,
GL0011,UN0258,GL0011,文殊師利所說般若波羅蜜經,1,1,,,
GL0012,UN0259,GL0012,佛說濡首菩薩無上淸淨分衛經,2,2,,,
GL0013,UN0260,GL0013,金剛般若波羅蜜經,1,1,,,
GL0014,UN0261,GL0014,金剛般若波羅蜜經,1,1,,,
GL0015,UN0262,GL0015,金剛般若波羅蜜經,1,1,,,
GL0016,UN0264,GL0016,能斷金剛般若波羅蜜多經,1,1,,,
GL0017,UN0265,GL0017,佛說能斷金剛般若波羅蜜多經,1,1,,,
GL0018,UN0266,GL0018,實相般若波羅蜜經,1,1,,,
GL0019,UN0271,GL0019,佛說仁王般若波羅蜜經,2,2,,,
GL0020,UN0277,GL0020,般若波羅蜜多心經,1,1,,,
GL0021,UN0278,GL0021,摩訶般若波羅蜜大明呪經,1,1,,,
GL0022,UN0342,GL0022,大寶積經,120,120,,,
GL0023,UN0343,GL0023,大方廣三戒經,3,3,,,
GL0024,UN0391,GL0024,佛說無量淸淨平等覺經,4,4,,,
GL0025,,GL0025,佛說阿彌陀三耶三佛薩樓佛檀過度人道經,2,2,,,
GL0026,UN0390,GL0026,佛說無量壽經,2,2,,,
GL0027,UN0345,GL0027,阿閦佛國經,2,2,,,
GL0028,UN0346,GL0028,佛說大乘十法經,1,1,,,
GL0029,UN0347,GL0029,佛說普門品經,1,1,,,
GL0030,UN0349,GL0030,佛說胞胎經,1,1,,,
GL0031,UN0350,GL0031,文殊師利佛土嚴淨經,2,2,,,
GL0032,UN0355,GL0032,法鏡經,1,1,,,
GL0033,UN0354,GL0033,郁迦羅越問菩薩行經,1,1,,,
GL0034,UN0356,GL0034,佛說幻士仁賢經,1,1,,,
GL0035,UN0357,GL0035,佛說決定毗尼經,1,1,,,
GL0036,,GL0036,須摩提經,1,1,,,
GL0037,UN0359,GL0037,發覺淨心經,2,2,,,
GL0038,UN0364,GL0038,佛說優填王經,1,1,,,
GL0039,UN0366,GL0039,佛說須摩提菩薩經,1,1,,,
GL0040,UN0367,GL0040,佛說阿闍貰王女阿術達菩薩經,1,1,,,
GL0041,UN0368,GL0041,佛說離垢施女經,1,1,,,
GL0042,UN0369,GL0042,得無垢女經,1,1,,,
GL0043,UN0370,GL0043,文殊師利所說不思議佛境界經,2,2,,,
GL0044,UN0372,GL0044,佛說如幻三昧經,2,2,,,
GL0045,UN0371,GL0045,聖善住意天子所問經,3,3,,,
GL0046,UN0373,GL0046,佛說太子刷護經,1,1,,,
GL0047,UN0374,GL0047,佛說太子和休經,1,1,,,
GL0048,UN0375,GL0048,慧上菩薩問大善權經,2,2,,,
GL0049,UN0377,GL0049,大乘顯識經,2,2,,,
GL0050,UN0378,GL0050,佛說大乘方等要慧經,1,1,,,
GL0051,UN0379,GL0051,彌勒菩薩所問本願經,1,1,,,
GL0052,UN0380,GL0052,佛說遺日摩尼寶經,1,1,,,
GL0053,UN0381,GL0053,佛說摩訶衍寶嚴經,1,1,,,
GL0054,UN0383,GL0054,勝鬘師子吼一乘大方便方廣經,1,1,,,
GL0055,UN0384,GL0055,毗耶娑問經,2,2,,,
GL0056,UN0432,GL0056,大方等大集經,60,60,,,
GL0057,UN0451,GL0057,大乘大集地藏十輪經,10,10,,,
GL0058,UN0452,GL0058,大方廣十輪經,8,8,,,
GL0059,,GL0059,大乘大集經,2,2,,,
GL0060,UN0455,GL0060,菩薩念佛三昧經,5,5,,,
GL0061,UN0449,GL0061,虛空孕菩薩經,2,2,,,
GL0062,UN0446,GL0062,虛空藏菩薩經,1,1,,,
GL0063,UN0447,GL0063,虛空藏菩薩神呪經,1,1,,,
GL0064,UN0450,GL0064,觀虛空藏菩薩經,1,1,,,
GL0065,UN0456,GL0065,大方等大集經菩薩念佛三昧分,10,10,,,
GL0066,UN0457,GL0066,大方等大集經賢護分,5,5,,,
GL0067,UN0458,GL0067,般舟三昧經,3,3,,,
GL0068,UN0459,GL0068,佛說般舟三昧經,1,1,,,
GL0069,UN0460,GL0069,拔陂菩薩經,1,1,,,
GL0070,UN0438,GL0070,阿差末菩薩經,7,7,,,
GL0071,UN0437,GL0071,無盡意菩薩經,6,6,,,
GL0072,UN0440,GL0072,大哀經,8,8,,,
GL0073,UN0463,GL0073,大集譬喻王經,2,2,,,
GL0074,UN0441,GL0074,寶女所問經,4,4,,,
GL0075,UN0461,GL0075,自在王菩薩經,2,2,,,
GL0076,UN0462,GL0076,奮迅王問經,2,2,,,
GL0077,UN0443,GL0077,佛說無言童子經,2,2,,,
GL0078,UN0445,GL0078,寶星陀羅尼經,10,10,,,
GL0079,UN0310,GL0079,大方廣佛華嚴經,60,60,,,
GL0080,UN0309,GL0080,大方廣佛華嚴經,80,80,,,
GL0081,UN0337,GL0081,信力入印法門經,5,5,,,
GL0082,UN0336,GL0082,佛華嚴入如來德智不思議境界經,2,2,,,
GL0083,UN1163,GL0083,大乘金剛髻珠菩薩修行分,1,1,,,
GL0084,UN0338,GL0084,大方廣佛花嚴經修慈分,1,1,,,
GL0085,UN0335,GL0085,度諸佛境界智光嚴經,1,1,,,
GL0086,UN0334,GL0086,大方廣入如來智德不思議經,1,1,,,
GL0087,UN0332,GL0087,大方廣如來不思議境界經,1,1,,,
GL0088,UN0333,GL0088,大方廣佛華嚴經不思議佛境界分,1,1,,,
GL0089,UN0316,GL0089,漸備一切智德經,5,5,,,
GL0090,UN0311,GL0090,佛說兜沙經,1,1,,,
GL0091,UN0330,GL0091,大方廣普賢所說經,1,1,,,
GL0092,UN0314,GL0092,菩薩十住行道品,1,1,,,
GL0093,UN0313,GL0093,諸菩薩求佛本業經,1,1,,,
GL0094,UN0312,GL0094,佛說菩薩本業經,1,1,,,
GL0095,UN0339,GL0095,佛說莊嚴菩提心經,1,1,,,
GL0096,UN0340,GL0096,佛說大方廣菩薩十地經,1,1,,,
GL0097,UN0315,GL0097,佛說菩薩十住經,1,1,,,
GL0098,UN0317,GL0098,十住經,4,4,,,
GL0099,UN0322,GL0099,佛說如來興顯經,4,4,,,
GL0100,UN0319,GL0100,等目菩薩所問三昧經,3,3,,,
GL0101,UN0320,GL0101,顯無邊佛土功德經,1,1,,,
GL0102,UN0326,GL0102,佛說羅摩伽經,3,3,,,
GL0103,UN0323,GL0103,度世品經,6,6,,,
GL0104,UN0327,GL0104,大方廣佛華嚴經入法界品,1,1,,,
GL0105,UN0409,GL0105,大般涅槃經,40,40,,,
GL0106,UN0411,GL0106,佛說大般泥洹經,6,6,,,
GL0107,UN0412,GL0107,大般涅槃經後分,2,2,,,
GL0108,UN0413,GL0108,佛說方等般泥洹經,2,2,,,
GL0109,UN0414,GL0109,四童子三昧經,3,3,,,
GL0110,UN0415,GL0110,大悲經,5,5,,,
GL0111,UN0244,GL0111,方廣大莊嚴經,12,12,,,
GL0112,UN0245,GL0112,佛說普曜經,8,8,,,
GL0113,UN0300,GL0113,佛說法華三昧經,1,1,,,
GL0114,,GL0114,無量義經德行品,1,1,,,
GL0115,UN0295,GL0115,薩曇分陀利經,1,1,,,
GL0116,UN0292,GL0116,妙法蓮華經,7,7,,,
GL0117,UN0293,GL0117,正法華經,10,10,,,
GL0118,UN0294,GL0118,添品妙法蓮華經,7,7,,,
GL0119,UN0645,GL0119,維摩詰所說經,3,3,,,
GL0120,UN0646,GL0120,佛說維摩詰經,2,2,,,
