name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
HW0001,UN0246,HW0001,大般若波羅蜜多經,600,600,1,22,
HW0002,UN0247,HW0002,放光般若波羅蜜經,30,30,22,23,
HW0003,UN0249,HW0003,摩訶般若波羅蜜經,30,30,24,24,
HW0004,UN0248,HW0004,光讃般若波羅蜜經,10,10,24,24,
HW0005,UN0252,HW0005,摩訶般若波羅蜜鈔經,5,5,25,25,
HW0006,UN0250,HW0006,道行般若波羅蜜經,10,10,25,25,
HW0007,UN0253,HW0007,小品般若波羅蜜經,10,10,25,25,
HW0008,UN0256,HW0008,勝天王般若波羅蜜經,7,7,25,25,
HW0009,UN0251,HW0009,大明度無極經,6,6,25,26,
HW0010,UN0259,HW0010,佛說濡首菩薩無上清淨分衛經,2,2,26,26,
HW0011,UN0261,HW0011,金剛般若波羅蜜經(元魏留支譯）,1,1,26,26,
HW0012,UN0262,HW0012,金剛般若波羅蜜經（陳真諦譯）,1,1,26,26,
HW0013,UN0263,HW0013,金剛能斷般若波羅蜜經（隋笈多譯）,1,1,26,26,
HW0014,UN0265,HW0014,能斷金剛般若波羅蜜多經（唐義凈譯）,1,1,26,26,
HW0015,UN0264,HW0015,能斷金剛般若波羅蜜多經（唐玄奘譯）,2,2,26,26,
HW0016,UN0266,HW0016,實相般若波羅蜜經,1,1,26,26,
HW0017,UN0271,HW0017,仁王護國般若波羅蜜經（鸠摩罗什）,2,2,26,26,
HW0018,UN0258,HW0018,文殊師利所說般若波羅蜜經,1,1,26,26,
HW0019,UN0342,HW0019,大寶積經,120,120,26,30,
HW0020,UN0343,HW0020,大方廣三戒經,3,3,30,30,
HW0021,UN0391,HW0021,佛说無量清淨平等覺經,2,2,31,31,
HW0022,UN0392,HW0022,佛说阿彌陀經,2,2,31,31,
HW0023,UN0390,HW0023,佛说無量壽經,2,2,31,31,
HW0024,UN0345,HW0024,佛說阿閦佛國經,2,2,31,31,
HW0025,UN0346,HW0025,佛說大乘十法經,1,1,31,31,
HW0026,UN0347,HW0026,佛說普門品經,1,1,31,31,
HW0027,UN0349,HW0027,佛說胞胎經,1,1,31,31,
HW0028,UN0350,HW0028,文殊師利佛土嚴淨經,2,2,31,31,
HW0029,UN0355,HW0029,法鏡經,1,1,31,31,
HW0030,UN0354,HW0030,郁迦羅越問菩薩行經,1,1,31,31,
HW0031,UN0356,HW0031,幻士仁賢經,1,1,31,31,
HW0032,UN0357,HW0032,佛说決定毘尼經,1,1,31,31,
HW0033,UN0359,HW0033,發覺淨心經,2,2,31,31,
HW0034,UN0364,HW0034,佛說優填王經,1,1,31,31,
HW0035,,HW0035,佛說須摩提經,1,1,31,31,
HW0036,UN0366,HW0036,佛說須摩提菩薩經,1,1,31,31,
HW0037,UN0368,HW0037,佛說離垢施女經,1,1,31,31,
HW0038,UN0367,HW0038,佛说阿闍世王女阿述達菩薩經,1,1,31,31,
HW0039,UN0369,HW0039,得無垢女經,1,1,31,31,
HW0040,UN0370,HW0040,文殊師利所說不思議佛境界經,2,2,31,31,
HW0041,UN0372,HW0041,佛說如幻三昧經,3,3,31,32,
HW0042,UN0371,HW0042,善住意天子所問經,3,3,32,32,
HW0043,UN0373,HW0043,太子刷護經,1,1,32,32,
HW0044,UN0374,HW0044,太子和休經,1,1,32,32,
HW0045,UN0375,HW0045,慧上菩薩問大善權經,2,2,32,32,
HW0046,UN0377,HW0046,大乘顯識經,2,2,32,32,
HW0047,UN0378,HW0047,佛說大乘方等要慧經,1,1,32,32,
HW0048,UN0379,HW0048,彌勒菩薩所問本願經,1,1,32,32,
HW0049,UN0380,HW0049,佛遺日摩尼寶經,1,1,32,32,
HW0050,UN0381,HW0050,佛說摩訶衍寶嚴經,1,1,32,32,
HW0051,UN0383,HW0051,勝鬘師子吼一乘大方便方廣經,1,1,32,32,
HW0052,UN0384,HW0052,毗耶娑問經,2,2,32,32,
HW0053,UN0433,HW0053,大方等大集經,30,30,32,33,
HW0054,UN0434,HW0054,大乘大方等日藏經,10,10,33,34,
HW0055,UN0435,HW0055,大方等大集月藏經,10,10,34,34,
HW0056,UN0451,HW0056,大乘大集地藏十輪經,10,10,34,35,
HW0057,UN0452,HW0057,大方廣十輪經,8,8,35,35,
HW0058,UN0436,HW0058,大集須彌藏經,2,2,35,35,
HW0059,UN0449,HW0059,虛空孕菩薩經,2,2,35,35,
HW0060,UN0446,HW0060,虛空藏菩薩經,1,1,35,35,
HW0061,UN0447,HW0061,虛空藏菩薩神咒經,1,1,35,35,
HW0062,UN0450,HW0062,觀虛空藏菩薩經,1,1,35,35,
