name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
KB0001,UN0246,KB0001,大般若波羅蜜多經,581,1,2,2,1頁經文不全
KB0002,UN0342,KB0002,大寶積,111,1,3,3,
KB0003,UN0432,KB0003,大方等大集經,43,1,4,4,
KB0004,UN0292,KB0004,法華經,7,1,5,5,
KB0005,UN0299,KB0005,阿惟越致遮經,1,1,6,6,
KB0006,UN1012,KB0006,大雲請雨品經,1,1,7,7,卷末寫的是大雲經請雨品第六十四，第32也和第33頁好像重複
KB0007,UN0102,KB0007,雜阿含經,39,1,9,9,缺失卷第31-38；疑似掃描原因，第1-4頁頁尾內容有缺失
KB0008,UN0184,KB0008,佛本行集經,19,1,10,10,
KB0009,UN14961,KB0009,十誦律,46,1,11,11,
KB0010,,KB0010,禦制秘藏詮,13,1,12,12,
