name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
LC_1,UN_246,LC_1,大般若波羅蜜多經,481,4,1,1,
LC_2,UN_249,LC_2,摩訶般若波羅蜜經,24,12,1,1,
LC_3,UN_248,LC_3,光讃經,6,3,1,1,
LC_4,UN_250,LC_4,道行般若經,4,1,1,1,
LC_5,UN_256,LC_5,勝天王般若波羅蜜經,6,6,2,2,
LC_6,UN_259,LC_6,佛說濡首菩薩無上淸淨分衞經,2,2,2,2,
LC_7,UN_260,LC_7,金剛般若波羅蜜經,1,1,2,2,
LC_8,UN_262,LC_8,金剛般若波羅蜜經,1,1,2,2,
LC_9,UN_264,LC_9,能斷金剛般若波羅蜜多經,1,1,2,2,卷首殘
LC_10,UN_271,LC_10,佛說仁王般若波羅蜜經,2,2,2,2,
LC_11,UN_342,LC_11,大寶積經,119,13,2,2,卷首殘，經名卷次據卷尾
LC_12,UN_391,LC_12,佛說無量淸淨平等覺經,4,4,3,3,
LC_13,UN_433,LC_13,大方等大集經,56,32,3,4,
LC_14,UN_452,LC_14,大方廣十輪經,7,7,4,4,
LC_15,,LC_15,大乘大集經,1,1,4,4,
LC_16,UN_446,LC_16,虛空藏菩薩經,1,1,4,4,
LC_17,UN_447,LC_17,虛空藏菩薩神呪經,1,1,4,4,
LC_18,UN_450,LC_18,觀虛空藏菩薩經,1,1,4,4,
LC_19,UN_458,LC_19,般舟三昧經,1,1,5,5,卷上，卷首丟失，p1殘缺，第2、3、7字跡不清
LC_20,UN_440,LC_20,大哀經,5,1,5,5,
LC_21,UN_445,LC_21,寶星陀羅尼經,10,10,5,5,
LC_22,UN_310,LC_22,大方廣佛華嚴經,13,,5,5,新譯
LC_23,UN_309,LC_23,大方廣佛華嚴經,79,24,6,6,新譯
LC_24,UN_337,LC_24,信力入印法門經,5,5,6,6,
LC_25,UN_336,LC_25,佛華嚴入如來德智不思議境界經,2,2,6,6,卷首尾經名不一致
LC_26,UN_1163,LC_26,大乘金剛髻珠菩薩修行分,1,1,6,6,
LC_27,UN_338,LC_27,大方廣佛華嚴經修慈分,1,1,6,6,
LC_28,UN_335,LC_28,度諸佛境界智光嚴經,1,1,6,6,
LC_29,UN_334,LC_29,大方廣如來智德不思議經,1,1,6,6,
LC_30,UN_332,LC_30,大方廣如來不思議境界經,1,1,6,6,
LC_31,UN_333,LC_31,大方廣佛華嚴經不思議佛境界分,1,1,6,6,
LC_32,UN_311,LC_32,佛說兜沙經,1,1,6,6,
LC_33,UN_340,LC_33,佛說大方廣菩薩十地經,1,1,6,6,
LC_34,UN_319,LC_34,佛說等目菩薩經,3,2,6,6,卷首尾經名不一致，無卷上。
LC_35,UN_326,LC_35,佛說羅摩伽經,3,3,7,7,
LC_36,UN_323,LC_36,度世品經,6,6,7,7,
LC_37,UN_327,LC_37,大方廣佛華嚴經入法界品,1,1,7,7,
LC_38,UN_7,LC_38,大般涅槃經,38,3,7,7,
LC_39,UN_411,LC_39,佛說大般泥洹經,5,3,7,7,
LC_40,UN_412,LC_40,大般涅槃經後分,2,2,7,7,
LC_41,UN_413,LC_41,佛說方等般泥洹經,2,2,7,7,
LC_42,UN_414,LC_42,四童子三昧經,3,3,7,7,
LC_43,UN_415,LC_43,大悲經,5,5,8,8,
LC_44,UN_244,LC_44,大方廣莊嚴經,12,12,8,8,
LC_45,UN_245,LC_45,佛說普曜經,8,4,,,
LC_46,UN_300,LC_46,佛說法華三昧經,1,1,,,
LC_47,UN_293,LC_47,正法華經,10,8,9,9,
LC_48,UN_294,LC_48,添品妙發蓮華經,7,7,9,9,
LC_49,UN_645,LC_49,維摩詰,2,1,9,9,
