name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
QD_1,UN_309,QD_1,大方廣佛華嚴經,51,3,1,1,
QD_2,UN_292,QD_2,妙法蓮華經,2,1,1,1,
QD_3,UN_855,QD_3,積讃大乘功德經,1,1,1,1,
QD_4,UN_1387,QD_4,大法炬陀羅尼經,13,1,1,1,
QD_5,UN_216,QD_5,大方便佛報恩經,1,1,1,1,48頁經文不全
QD_6,UN_28,QD_6,中阿含經,36,1,1,1,
QD_7,UN_1612,QD_7,阿毗達磨發智論,13,1,1,1,
QD_8,UN_954,QD_8,佛說大乘聖無量壽決定光明王如來陀羅尼經,1,1,1,1,75-80頁經文不全
QD_9,UN_3904,QD_9,一切佛菩薩名集,6,1,1,1,
QD_10,UN_293,QD_10,妙法蓮華經,8,6,1,1,181-182頁經文不全
QD_11,UN_216,QD_11,大方便佛報恩經,8,1,1,1,193頁經文不全
QD_12,UN_1004,QD_12,佛母大金曜孔雀明王經,1,1,1,1,卷上
QD_13,UN_513,QD_13,佛說八師經,1,1,1,1,195-198頁經文不全
QD_14,UN_48142,QD_14,佛說觀世音經,1,1,1,1,
QD_15,UN_48141,QD_15,高王觀世音經,1,1,1,1,
QD_16,UN_3904,QD_16,佛名集,1,1,1,1,
QD_17,UN_1998,QD_17,大方廣佛花嚴經疏,4,1,1,1,卷下
QD_18,UN_19991,QD_18,大方廣佛花嚴經隨疏演義鈔,5,2,1,1,卷上
QD_19,,QD_19,上生經預疏文,1,1,1,1,
QD_20,UN_2540,QD_20,釋摩訶衍論通贊疏,10,1,1,1,289-290頁經文不全
QD_21,,QD_21,釋摩訶衍論通贊疏科,1,1,1,1,307頁經文不全
QD_22,UN_24522,QD_22,成唯識議論述記應新抄科文,3,1,1,1,313，323-327頁經文不全
QD_23,,QD_23,法華經玄贊會古通今新抄,6,2,1,1,356頁經文不全
QD_24,UN_2097,QD_24,涅槃義記,8,1,1,1,
QD_25,,QD_25,八師經報應記,1,1,1,1,
QD_26,UN_1654,QD_26,成唯識論,1,1,1,1,
QD_27,UN_954,QD_27,佛說大乘聖無量壽決定光明王如來陀羅尼經,1,1,1,1,
QD_28,,QD_28,勸懺悔文、略是戒相儀、毗奈耶藏近事優婆塞五戒本,1,1,1,1,424-425頁經文不全
QD_29,,QD_29,大方廣佛花嚴經隨疏演義鈔玄鏡記,3,1,1,1,
QD_30,,QD_30,大方廣佛花嚴經十迴向品疏,1,1,1,1,
QD_31,UN_1847,QD_31,仁王護國般若波羅蜜多經科文,1,1,1,1,
QD_32,,QD_32,科文殘卷,1,1,1,1,
QD_33,UN_4828,QD_33,佛說延壽經,1,1,1,1,
QD_34,,QD_34,蒙求,1,1,1,1,
QD_35,,QD_35,新雕諸親讃壹策,1,1,1,1,
QD_36,,QD_36,玉泉寺菩薩戒壇所牒,1,1,1,1,
QD_37,,QD_37,菩薩戒壇所牒,1,1,1,1,
QD_38,,QD_38,蔔筮書殘葉,1,1,1,1,
QD_39,UN_1098,QD_39,佛頂心觀世音菩薩大陀羅尼經,1,1,1,1,455，460，476，477頁經文不全
QD_40,,QD_40,梵綱經手記,1,1,1,1,
QD_41,,QD_41,法華經手記,7,1,1,1,
QD_42,,QD_42,發菩提心戒本、大乘八關齋戒儀、菩薩十無書儀,11、12,1,1,1,492-495頁經文不全
QD_43,,QD_43,十戒戒本,1,1,1,1,
QD_44,,QD_44,受戒發願文,1,1,1,1,
QD_45,UN_19991,QD_45,大方廣佛花嚴經隨疏演義鈔,1,1,1,1,並序
QD_46,,QD_46,隨疏演義鈔經題撰人釋疏,1,1,1,1,
QD_47,,QD_47,佛本生經變相目錄,1,1,1,1,510-511頁經文不全
QD_48,,QD_48,經疏抄記,1,1,1,1,
QD_49,,QD_49,應州當寺沙門祈福願文,1,1,1,1,
QD_50,,QD_50,圓教四門問答,1,1,1,1,521頁經文不全
QD_51,,QD_51,大方廣佛花嚴經疏序、勸善文,1,1,1,1,
QD_52,,QD_52,法華經筆記,1,1,1,1,
QD_53,,QD_53,天親菩薩造第一論,1,1,1,1,
QD_54,,QD_54,雜抄,1,1,1,1,
QD_55,,QD_55,僧光章為賣常住什畜狀,1,1,1,1,
QD_56,,QD_56,五言詩偈殘卷,1,1,1,1,
