name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
QL_1,UN_246,QL_1,大般若波羅蜜多經,600,600,1,14,
QL_2,UN_247,QL_2,放光般若波羅蜜經,30,,14,14,
QL_3,UN_249,QL_3,摩訶般若波羅蜜經,30,,14,15,
QL_4,UN_248,QL_4,光讚般若波羅蜜經,10,,15,15,
QL_5,UN_250,QL_5,道行般若波羅蜜經,10,,15,15,
QL_6,UN_253,QL_6,小品般若波羅蜜經,10,,16,16,
QL_7,UN_252,QL_7,摩訶般若波羅蜜鈔經,5,,16,16,
QL_8,UN_251,QL_8,大明度無極經,6,,16,16,
QL_9,UN_256,QL_9,勝天王般若波羅蜜經,7,,16,16,
QL_10,UN_260,QL_10,金剛般若波羅蜜經,1,,16,16,姚秦三藏法師鳩摩羅什譯
QL_11,UN_261,QL_11,金剛般若波羅蜜經,1,,16,16,元魏三藏留支譯
QL_12,UN_262,QL_12,金剛般若波羅蜜經,1,,16,16,陳天竺三藏法師真諦譯
QL_13,UN_264,QL_13,能斷金剛般若波羅蜜經,1,,16,16,唐三藏法師玄奘奉詔譯
QL_14,UN_265,QL_14,能斷金剛般若波羅蜜經,1,,16,16,唐三藏法師義淨奉制譯
QL_15,UN_263,QL_15,金剛能斷般若波羅蜜多經,1,,16,16,
QL_16,UN_259,QL_16,佛說濡首菩薩無上清淨分衛經,2,,16,16,
QL_17,UN_272,QL_17,仁王護國般若波羅蜜經,2,,16,16,不空译
QL_18,UN_266,QL_18,實相般若波羅蜜經,1,,16,16,
QL_19,UN_278,QL_19,摩訶般若波羅蜜大明咒經,1,,16,16,
QL_20,UN_277,QL_20,般若波羅蜜多心經,1,,16,16,唐三藏法師玄奘
QL_21,UN_257,QL_21,文殊師利所說摩訶般若波羅蜜經,1,,16,16,
QL_22,UN_258,QL_22,文殊師利所說般若波羅蜜經,1,,16,16,
QL_23,UN_342,QL_23,大寶積經,120,,17,19,
QL_24,UN_343,QL_24,大方廣三戒經,3,,19,19,
QL_25,UN_391,QL_25,佛說無量清淨平等覺經,3,,19,19,
QL_26,UN_392,QL_26,佛說阿彌陀經,2,,19,19,吳月氏優婆塞 支謙譯
QL_27,UN_390,QL_27,佛說無量壽經,2,,19,19,
QL_28,UN_345,QL_28,佛說阿閦佛國經,3,,20,20,
QL_29,UN_346,QL_29,佛說大乘十法經,1,,20,20,
QL_30,UN_347,QL_30,佛說普門品經,1,,20,20,
QL_31,UN_350,QL_31,文殊師利佛土嚴淨經,2,,20,20,
QL_32,UN_349,QL_32,佛說胞胎經,1,,20,20,
QL_33,UN_355,QL_33,佛說法鏡經,2,,20,20,
QL_34,UN_354,QL_34,鬱迦羅越問菩薩行經,1,,20,20,
QL_35,UN_356,QL_35,幻士仁賢經,1,,20,20,
QL_36,UN_357,QL_36,佛說決定毗尼經,1,,20,20,
QL_37,UN_359,QL_37,發覺淨心經,2,,20,20,
QL_38,UN_364,QL_38,佛說優塡王經,1,,20,20,
QL_39,,QL_39,佛說須摩提經,1,,20,20,西晉三藏竺法護譯
QL_40,UN_366,QL_40,佛說須摩提菩薩經,1,,20,20,存疑，PDF查詢，姚秦三藏法師鳩摩羅什譯；譯者為西晉竺法護譯
QL_41,UN_368,QL_41,佛說離垢施女經,1,,20,20,
QL_42,UN_367,QL_42,佛說阿闍世王女阿術達菩薩經,1,,20,20,
QL_43,UN_360,QL_43,佛說須賴經,1,,20,20,曹魏西域沙門白延於洛陽白馬寺譯
QL_44,UN_361,QL_44,佛說須賴經,1,,20,20,前涼月支國優婆塞支施崳譯
QL_45,UN_369,QL_45,得無垢女經,1,,20,20,
QL_46,UN_370,QL_46,文殊師利所說不思議佛境界經,2,,20,20,
QL_47,UN_372,QL_47,佛說如幻三昧經,3,,20,20,
QL_48,UN_371,QL_48,善住意天子所問經,3,,20,20,
QL_49,UN_373,QL_49,太子刷護經,1,,20,20,
