name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
YB_1,UN_246,YB_1,大般若波羅蜜多經,600,600,1,15,
YB_2,UN_247,YB_2,放光般若波羅蜜經,30,30,16,16,
YB_3,UN_249,YB_3,摩訶般若波羅蜜經,30,30,16,17,
YB_4,UN_248,YB_4,光讚般若波羅蜜經,10,10,17,17,
YB_5,UN_250,YB_5,道行般若波羅蜜經,10,10,17,18,
YB_6,UN_253,YB_6,小品般若波羅蜜經,10,10,18,18,
YB_7,UN_252,YB_7,摩訶般若波羅蜜鈔經,5,5,18,18,
YB_8,UN_251,YB_8,大明度無極經,6,6,18,18,
YB_9,UN_256,YB_9,勝天王般若波羅蜜經,7,7,18,18,
YB_10,UN_260,YB_10,金剛般若波羅蜜經,1,1,18,18,
YB_11,UN_261,YB_11,金剛般若波羅蜜經,1,1,18,18,
YB_12,UN_262,YB_12,金剛般若波羅蜜經,1,1,18,18,
YB_13,UN_264,YB_13,能斷金剛般若波羅蜜多經,1,1,18,18,
YB_14,UN_265,YB_14,能斷金剛般若波羅蜜經,1,1,18,18,
YB_15,UN_263,YB_15,金剛能斷般若波羅蜜經,1,1,18,18,
YB_16,UN_259,YB_16,佛說濡首菩薩無上清凈分衛經,2,2,18,18,
YB_17,UN_271,YB_17,仁王護國般若波羅蜜經,2,2,18,18,
YB_18,UN_266,YB_18,實相般若波羅蜜經,1,1,18,18,
YB_19,UN_278,YB_19,摩訶般若波羅蜜大明咒經,1,1,18,18,
YB_20,UN_277,YB_20,般若波羅蜜多心經,1,1,18,18,
YB_21,UN_257,YB_21,文殊師利所說摩訶般若波羅蜜經,1,1,18,18,
YB_22,UN_258,YB_22,文殊師利所說般若波羅蜜經,1,1,18,18,
YB_23,UN_342,YB_23,大寳積經,120,120,18,21,
YB_24,UN_343,YB_24,大方廣三戒經,3,3,22,22,
YB_25,UN_391,YB_25,佛說無量清靜平等覺經,3,3,22,22,
YB_26,UN_392,YB_26,佛說阿彌陀經,2,2,22,22,
YB_27,UN_390,YB_27,佛說無量壽經,2,2,22,22,
YB_28,UN_345,YB_28,佛說阿閦佛國經,3,3,22,22,
YB_29,UN_346,YB_29,佛說大乘十法經,1,1,22,22,
YB_30,UN_347,YB_30,佛說普門品經,1,1,22,22,
YB_31,UN_350,YB_31,文殊師利佛土嚴凈經,2,2,22,22,
YB_32,UN_349,YB_32,佛說胞胎經,1,1,22,22,
YB_33,UN_355,YB_33,佛說法鏡經,2,2,22,22,
YB_34,UN_354,YB_34,鬱迦羅越問菩薩行經,1,1,22,22,
YB_35,UN_356,YB_35,幻士仁賢經,1,1,22,22,
YB_36,UN_357,YB_36,佛說決定毗尼經,1,1,22,22,
YB_37,UN_359,YB_37,發覺淨心經,2,2,22,22,
YB_38,UN_364,YB_38,佛說優填王經,1,1,22,22,
YB_39,,YB_39,佛說須摩提經,1,1,22,22,
YB_40,UN_366,YB_40,佛說須摩提菩薩經,1,1,22,22,
YB_41,UN_368,YB_41,佛說離垢施女經,1,1,22,22,
YB_42,UN_367,YB_42,佛說阿闍世王女阿術達菩薩經,1,1,22,22,
YB_43,UN_360,YB_43,佛說須賴經,1,1,22,22,
YB_44,UN_361,YB_44,佛說須賴經,1,1,22,22,
YB_45,UN_369,YB_45,得無垢女經,1,1,22,22,
YB_46,UN_370,YB_46,文殊師利所說不思議佛境界經,2,2,22,22,
