name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
ZC0001,UN0246,ZC0001,大般若波羅蜜多經,600,118,1,4,
ZC0002,UN0247,ZC0002,放光般若經,20,3,4,4,
ZC0003,UN0249,ZC0003,摩訶般若波羅蜜經,27,7,4,4,
ZC0004,UN0248,ZC0004,光讚經,10,2,4,4,
ZC0005,UN0252,ZC0005,摩訶般若鈔經,5,0,4,4,
ZC0006,UN0249,ZC0006,摩訶般若波羅蜜經,27,1,5,5,
ZC0007,UN0250,ZC0007,道行般若經,10,2,5,5,
ZC0008,UN0253,ZC0008,小品般若波羅蜜經,10,5,5,5,
ZC0009,UN0256,ZC0009,勝天王般若波羅蜜經,7,3,5,5,
ZC0010,UN0251,ZC0010,大明度經,6,3,5,5,
ZC0011,UN0257,ZC0011,文殊師利所説摩訶般若波羅蜜經,2,1,5,5,
ZC0012,UN0258,ZC0012,文殊師利所説般若波羅蜜經,1,0,5,5,
ZC0013,UN0259,ZC0013,佛説濡首菩薩無上清淨分衛經,1,0,5,5,
ZC0014,UN0260,ZC0014,金剛般若波羅蜜經,1,0,5,5,
ZC0015,UN0261,ZC0015,金剛般若波羅蜜經,1,1,5,5,
ZC0016,UN0262,ZC0016,金剛般若波羅蜜經,1,1,5,5,
ZC0017,UN0264,ZC0017,能斷金剛般若波羅蜜經,2,1,5,5,
ZC0018,UN0271,ZC0018,佛説仁王般若波羅蜜經,2,1,5,5,
ZC0019,UN0342,ZC0019,摩訶般若波羅蜜大明咒經,1,0,5,5,
ZC0020,UN0266,ZC0020,實相般若波羅蜜經,1,0,5,5,
ZC0021,UN0277,ZC0021,般若波羅蜜多心經,1,0,5,5,
ZC0022,UN0279,ZC0022,大寳積經,120,43,5,6,
ZC0023,UN0343,ZC0023,大方廣三戒經,3,1,6,6,
ZC0024,UN0391,ZC0024,佛說無量清淨平等覺經,4,2,6,6,
ZC0025,UN0392,ZC0025,佛說阿彌陁經,2,1,6,6,
ZC0026,UN0390,ZC0026,佛說無量壽經,2,0,6,6,
ZC0027,UN0345,ZC0027,阿閦佛國經,2,0,6,6,
ZC0028,UN0346,ZC0028,佛說大乘十法經,1,0,6,6,
ZC0029,UN0347,ZC0029,佛說普門品經,1,1,6,6,
ZC0030,UN0349,ZC0030,佛說胞胎經,1,1,6,6,
ZC0031,UN0350,ZC0031,文殊師利佛土嚴淨經,2,0,6,6,
