name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
ZH_1,UN_246,ZH_1,大般若波羅蜜多經,600,595,1,6,
ZH_2,UN_247,ZH_2,放光般若經,20,20,7,7,
ZH_3,UN_249,ZH_3,摩訶般若波羅蜜經,27,27,7,7,
ZH_4,UN_248,ZH_4,光贊經,10,10,7,7,
ZH_5,UN_252,ZH_5,摩訶般若鈔經,5,5,7,7,
ZH_6,UN_250,ZH_6,道行般若經,10,10,7,7,
ZH_7,UN_253,ZH_7,小品般若波羅蜜經,10,10,7,7,
ZH_8,UN_256,ZH_8,勝天王般若波羅蜜經,7,7,8,8,
ZH_9,UN_251,ZH_9,大明度經,6,6,8,8,
ZH_10,UN_257,ZH_10,文殊師利所說摩訶般若波羅蜜經,2,2,8,8,
ZH_11,UN_258,ZH_11,文殊師利所說般若波羅蜜經,1,1,8,8,
ZH_12,UN_259,ZH_12,佛說濡首菩薩無上清凈分衛經,2,2,8,8,
ZH_13,UN_260,ZH_13,金剛般若波羅蜜經,1,1,8,8,
ZH_14,UN_261,ZH_14,金剛般若波羅蜜經,1,1,8,8,
ZH_141,UN_261,ZH_141,金剛般若波羅蜜經,1,1,8,8,
ZH_16,UN_262,ZH_16,金剛般若波羅蜜經,1,1,8,8,
ZH_17,UN_263,ZH_17,金剛能斷般若波羅蜜經,1,1,8,8,
ZH_18,UN_264,ZH_18,能斷金剛般若波羅蜜多經,1,1,8,8,
ZH_19,UN_265,ZH_19,佛說能斷金剛般若波羅蜜多經,2,2,8,8,
ZH_20,UN_271,ZH_20,佛說仁王般若波羅蜜經,2,2,8,8,
ZH_21,UN_278,ZH_21,摩訶般若波羅蜜大明咒經,1,1,8,8,
ZH_22,UN_266,ZH_22,實相般若波羅蜜經,1,1,8,8,
ZH_23,UN_277,ZH_23,般若波羅蜜多心經,2,1,8,8,
ZH_24,UN_342,ZH_24,大寶積經,120,120,8,9,
ZH_25,UN_343,ZH_25,大方廣三戒經,3,3,9,9,
ZH_26,UN_391,ZH_26,佛說無量清凈平等覺經,4,4,9,9,
ZH_27,,ZH_27,佛說阿彌陁經,2,2,9,9,
ZH_28,UN_390,ZH_28,佛說無量壽經,2,2,9,9,
ZH_29,UN_345,ZH_29,阿閦佛國經,2,2,9,9,
ZH_30,UN_346,ZH_30,佛說大乘十法經,1,1,9,9,
ZH_31,UN_347,ZH_31,佛說普門品經,1,1,9,9,
ZH_33,UN_349,ZH_33,佛說胞胎經,1,1,9,9,
ZH_34,UN_350,ZH_34,文殊師利佛土嚴淨經,2,2,9,9,
ZH_35,UN_355,ZH_35,法鏡經,1,1,9,9,
ZH_36,UN_354,ZH_36,鬱迦羅越問菩薩行經,1,1,9,9,
ZH_37,UN_356,ZH_37,佛說幻士仁賢經,1,1,9,9,
ZH_38,UN_357,ZH_38,佛說決定毗尼經,1,1,9,9,
ZH_39,UN_359,ZH_39,發覺凈心經,2,2,9,9,
ZH_40,UN_364,ZH_40,佛說優填王經,1,1,9,9,
ZH_42,UN_366,ZH_42,佛說須摩提菩薩經,1,1,9,9,
ZH_44,UN_367,ZH_44,佛說阿闍貰王女阿術達菩薩經,1,1,9,9,
ZH_45,UN_368,ZH_45,佛說離垢施女經,1,1,9,9,
ZH_46,UN_369,ZH_46,得無垢女經,1,1,9,9,
ZH_47,UN_370,ZH_47,文殊師利所說不思議佛境界經,2,2,9,9,
ZH_48,UN_372,ZH_48,佛說如幻三昧經,2,2,9,9,
ZH_49,UN_371,ZH_49,聖善住意天子所問經,3,3,9,9,
ZH_50,UN_373,ZH_50,佛說太子刷護經,1,1,9,9,
ZH_51,UN_374,ZH_51,佛說太子和休經,1,1,9,9,
ZH_52,UN_375,ZH_52,慧上菩薩問大善權經,2,2,9,9,
ZH_53,UN_377,ZH_53,大乘顯識經,2,2,9,9,
ZH_54,UN_378,ZH_54,佛說大乘方等要慧經,1,1,9,9,
ZH_55,UN_379,ZH_55,彌勒菩薩所問本願經,1,1,9,9,
ZH_56,UN_380,ZH_56,佛說遺日摩尼寶經,1,1,9,9,
ZH_57,UN_381,ZH_57,佛說摩訶衍寶嚴經,1,1,9,9,
ZH_58,UN_383,ZH_58,勝鬘獅子吼一乘大方便方廣經,1,1,9,9,
ZH_59,UN_384,ZH_59,毗耶娑問經,2,2,9,9,
ZH_60,UN_433,ZH_60,大方等大集經,60,60,10,10,
ZH_61,UN_434,ZH_61,大乘大方等日藏經,10,10,10,10,
ZH_62,UN_435,ZH_62,大方等大集月藏經,10,10,10,10,
ZH_63,UN_451,ZH_63,大乘大集地藏十輪經,10,10,11,11,
ZH_64,UN_452,ZH_64,大方廣十輪經,8,8,11,11,
ZH_66,UN_455,ZH_66,菩薩念佛三昧經,5,5,11,11,
ZH_67,UN_449,ZH_67,虛空孕菩薩經,2,2,11,11,
ZH_69,UN_447,ZH_69,虛空藏菩薩神呪經,1,1,11,11,
ZH_71,UN_450,ZH_71,觀虛空藏菩薩經,1,1,11,11,
ZH_72,UN_456,ZH_72,大方等大集經菩薩念佛三昧分,10,10,11,11,
ZH_73,UN_457,ZH_73,大方等大集經賢護分,5,5,11,11,
ZH_74,UN_458,ZH_74,般舟三昧經,3,3,11,11,
ZH_75,UN_459,ZH_75,般舟三昧經(別本),1,1,11,11,
ZH_76,UN_460,ZH_76,拔陂菩薩經,1,1,11,11,
ZH_77,UN_438,ZH_77,阿差末菩薩經,7,7,11,11,
ZH_78,UN_437,ZH_78,無盡意菩薩經,6,6,11,11,
ZH_79,UN_440,ZH_79,大哀經,8,8,11,11,
ZH_80,UN_463,ZH_80,大集譬喻王經,2,2,11,11,
ZH_81,UN_441,ZH_81,寶女所問經,4,4,11,11,
ZH_82,UN_461,ZH_82,自在王菩薩經,2,2,11,11,
ZH_83,UN_462,ZH_83,奮迅王問經,2,2,11,11,
ZH_84,UN_443,ZH_84,無言童子經,2,2,11,11,
ZH_85,UN_445,ZH_85,寶星陀羅尼經,10,10,11,11,
ZH_86,UN_310,ZH_86,大方廣佛華嚴經,50,50,12,12,
ZH_87,UN_309,ZH_87,大方廣佛華嚴經,80,80,12,13,
ZH_88,UN_337,ZH_88,信力入印法門經,5,5,13,13,
ZH_89,UN_336,ZH_89,佛華嚴入如來德智不思議境界經,2,2,13,13,
ZH_90,UN_1163,ZH_90,大乘金剛髻珠菩薩修行分,1,1,13,13,
ZH_91,UN_338,ZH_91,大方廣佛華嚴經修慈分,1,1,13,13,
ZH_92,UN_335,ZH_92,度諸佛境界智光嚴經,1,1,13,13,
ZH_93,UN_334,ZH_93,大方廣入如來智德不思議經,1,1,13,13,
ZH_94,UN_332,ZH_94,大方廣如來不思議境界經,1,1,13,13,
ZH_95,UN_333,ZH_95,大方廣佛華嚴經不思議佛境界分,1,1,13,13,
ZH_96,UN_316,ZH_96,漸備一切智德經,5,5,13,13,
ZH_97,UN_314,ZH_97,菩薩十住行道品,1,1,13,13,
ZH_98,UN_339,ZH_98,佛贊莊嚴菩提心經,1,1,13,13,
ZH_99,UN_315,ZH_99,佛說菩薩十住經,1,1,13,13,
ZH_100,UN_311,ZH_100,佛說兜沙經,1,1,13,13,
ZH_101,UN_330,ZH_101,大方廣普賢所說經,1,1,13,13,
ZH_102,UN_313,ZH_102,諸菩薩求佛本業經,1,1,13,13,
ZH_103,UN_312,ZH_103,佛說菩薩本業經,1,1,13,13,
ZH_104,UN_340,ZH_104,佛說大方廣菩薩十地經,1,1,13,13,
ZH_105,UN_317,ZH_105,十住經,4,4,13,13,
ZH_106,UN_322,ZH_106,佛說如來與顯經,4,4,13,13,
ZH_107,UN_319,ZH_107,等目菩薩所問三昧經,3,3,13,13,
ZH_108,UN_320,ZH_108,顯無邊佛土功德經,1,1,13,13,
ZH_109,UN_326,ZH_109,佛說羅摩伽經,3,3,13,13,
ZH_110,UN_323,ZH_110,度世品經,6,6,13,13,
ZH_111,UN_327,ZH_111,大方廣佛華嚴經入法界品,1,1,13,13,
ZH_112,UN_409,ZH_112,大般湼槃經,40,40,14,14,
ZH_113,UN_410,ZH_113,南本大般湼槃經,36,36,14,14,
ZH_114,UN_411,ZH_114,大般泥洹經,6,6,15,15,
ZH_115,UN_412,ZH_115,大般涅槃經後分,2,2,15,15,
ZH_116,UN_413,ZH_116,佛說方等般泥洹經,2,2,15,15,
ZH_117,UN_414,ZH_117,四童子三昧經,3,3,15,15,
ZH_118,UN_415,ZH_118,大悲經,8,8,15,15,
ZH_119,UN_244,ZH_119,方廣大莊嚴經,12,12,15,15,
ZH_120,UN_245,ZH_120,普曜經,8,8,15,15,
ZH_121,UN_300,ZH_121,佛說法華三昧經,1,1,15,15,
ZH_122,UN_307,ZH_122,無量義經,1,1,15,15,
ZH_123,UN_295,ZH_123,薩曇分陀利經,1,1,15,15,
ZH_124,UN_1955,ZH_124,妙法蓮華經,7,7,15,15,
ZH_125,UN_293,ZH_125,正法華經,10,10,15,15,
ZH_126,UN_294,ZH_126,添品妙法蓮華經,7,7,15,15,
ZH_127,UN_645,ZH_127,維摩詰所說經,3,3,15,15,
ZH_128,UN_646,ZH_128,佛說維摩詰經,2,2,15,15,
ZH_129,UN_647,ZH_129,說無垢稱經,6,6,15,15,
ZH_130,UN_649,ZH_130,佛說大方等頂王經,1,1,15,15,
ZH_131,UN_650,ZH_131,大乘頂王經,1,1,15,15,
ZH_132,UN_648,ZH_132,善思童子經,2,2,16,16,
ZH_133,UN_218,ZH_133,大乘悲分陀利經,8,8,16,16,
ZH_134,UN_217,ZH_134,悲華經,10,10,16,16,
ZH_135,UN_757,ZH_135,金光明最勝王經,10,10,16,16,
ZH_136,UN_759,ZH_136,合部金光明經,8,8,16,16,
ZH_137,UN_726,ZH_137,佛說伅真陀羅所問寶如來三昧經,3,3,16,16,
