name,tripitaka_code,volume_num,content_page_count,max_content_page,front_cover_count,back_cover_count,content_pages
YG_1,YG,1,27,27,3,1,"['YG_1_10', 'YG_1_11', 'YG_1_12', 'YG_1_13', 'YG_1_14', 'YG_1_15', 'YG_1_16', 'YG_1_17', 'YG_1_18', 'YG_1_19', 'YG_1_1', 'YG_1_20', 'YG_1_21', 'YG_1_22', 'YG_1_23', 'YG_1_24', 'YG_1_25', 'YG_1_26', 'YG_1_27', 'YG_1_2', 'YG_1_3', 'YG_1_4', 'YG_1_5', 'YG_1_6', 'YG_1_7', 'YG_1_8', 'YG_1_9', 'YG_1_b1', 'YG_1_f1', 'YG_1_f2', 'YG_1_f3']"
YG_10,YG,10,34,34,0,0,"['YG_10_10', 'YG_10_11', 'YG_10_12', 'YG_10_13', 'YG_10_14', 'YG_10_15', 'YG_10_16', 'YG_10_17', 'YG_10_18', 'YG_10_19', 'YG_10_1', 'YG_10_20', 'YG_10_21', 'YG_10_22', 'YG_10_23', 'YG_10_24', 'YG_10_25', 'YG_10_26', 'YG_10_27', 'YG_10_28', 'YG_10_29', 'YG_10_2', 'YG_10_30', 'YG_10_31', 'YG_10_32', 'YG_10_33', 'YG_10_34', 'YG_10_3', 'YG_10_4', 'YG_10_5', 'YG_10_6', 'YG_10_7', 'YG_10_8', 'YG_10_9']"
YG_11,YG,11,20,20,1,1,"['YG_11_10', 'YG_11_11', 'YG_11_12', 'YG_11_13', 'YG_11_14', 'YG_11_15', 'YG_11_16', 'YG_11_17', 'YG_11_18', 'YG_11_19', 'YG_11_1', 'YG_11_20', 'YG_11_2', 'YG_11_3', 'YG_11_4', 'YG_11_5', 'YG_11_6', 'YG_11_7', 'YG_11_8', 'YG_11_9', 'YG_11_b1', 'YG_11_f1']"
YG_12,YG,12,31,31,1,1,"['YG_12_10', 'YG_12_11', 'YG_12_12', 'YG_12_13', 'YG_12_14', 'YG_12_15', 'YG_12_16', 'YG_12_17', 'YG_12_18', 'YG_12_19', 'YG_12_1', 'YG_12_20', 'YG_12_21', 'YG_12_22', 'YG_12_23', 'YG_12_24', 'YG_12_25', 'YG_12_26', 'YG_12_27', 'YG_12_28', 'YG_12_29', 'YG_12_2', 'YG_12_30', 'YG_12_31', 'YG_12_3', 'YG_12_4', 'YG_12_5', 'YG_12_6', 'YG_12_7', 'YG_12_8', 'YG_12_9', 'YG_12_b1', 'YG_12_f1']"
YG_13,YG,13,30,30,0,0,"['YG_13_10', 'YG_13_11', 'YG_13_12', 'YG_13_13', 'YG_13_14', 'YG_13_15', 'YG_13_16', 'YG_13_17', 'YG_13_18', 'YG_13_19', 'YG_13_1', 'YG_13_20', 'YG_13_21', 'YG_13_22', 'YG_13_23', 'YG_13_24', 'YG_13_25', 'YG_13_26', 'YG_13_27', 'YG_13_28', 'YG_13_29', 'YG_13_2', 'YG_13_30', 'YG_13_3', 'YG_13_4', 'YG_13_5', 'YG_13_6', 'YG_13_7', 'YG_13_8', 'YG_13_9']"
YG_14,YG,14,9,9,0,1,"['YG_14_1', 'YG_14_2', 'YG_14_3', 'YG_14_4', 'YG_14_5', 'YG_14_6', 'YG_14_7', 'YG_14_8', 'YG_14_9', 'YG_14_b1']"
YG_15,YG,15,33,33,1,0,"['YG_15_10', 'YG_15_11', 'YG_15_12', 'YG_15_13', 'YG_15_14', 'YG_15_15', 'YG_15_16', 'YG_15_17', 'YG_15_18', 'YG_15_19', 'YG_15_1', 'YG_15_20', 'YG_15_21', 'YG_15_22', 'YG_15_23', 'YG_15_24', 'YG_15_25', 'YG_15_26', 'YG_15_27', 'YG_15_28', 'YG_15_29', 'YG_15_2', 'YG_15_30', 'YG_15_31', 'YG_15_32', 'YG_15_33', 'YG_15_3', 'YG_15_4', 'YG_15_5', 'YG_15_6', 'YG_15_7', 'YG_15_8', 'YG_15_9', 'YG_15_f1']"
YG_16,YG,16,35,35,0,0,"['YG_16_10', 'YG_16_11', 'YG_16_12', 'YG_16_13', 'YG_16_14', 'YG_16_15', 'YG_16_16', 'YG_16_17', 'YG_16_18', 'YG_16_19', 'YG_16_1', 'YG_16_20', 'YG_16_21', 'YG_16_22', 'YG_16_23', 'YG_16_24', 'YG_16_25', 'YG_16_26', 'YG_16_27', 'YG_16_28', 'YG_16_29', 'YG_16_2', 'YG_16_30', 'YG_16_31', 'YG_16_32', 'YG_16_33', 'YG_16_34', 'YG_16_35', 'YG_16_3', 'YG_16_4', 'YG_16_5', 'YG_16_6', 'YG_16_7', 'YG_16_8', 'YG_16_9']"
YG_17,YG,17,28,28,3,1,"['YG_17_10', 'YG_17_11', 'YG_17_12', 'YG_17_13', 'YG_17_14', 'YG_17_15', 'YG_17_16', 'YG_17_17', 'YG_17_18', 'YG_17_19', 'YG_17_1', 'YG_17_20', 'YG_17_21', 'YG_17_22', 'YG_17_23', 'YG_17_24', 'YG_17_25', 'YG_17_26', 'YG_17_27', 'YG_17_28', 'YG_17_2', 'YG_17_3', 'YG_17_4', 'YG_17_5', 'YG_17_6', 'YG_17_7', 'YG_17_8', 'YG_17_9', 'YG_17_b1', 'YG_17_f1', 'YG_17_f2', 'YG_17_f3']"
YG_18,YG,18,13,13,0,1,"['YG_18_10', 'YG_18_11', 'YG_18_12', 'YG_18_13', 'YG_18_1', 'YG_18_2', 'YG_18_3', 'YG_18_4', 'YG_18_5', 'YG_18_6', 'YG_18_7', 'YG_18_8', 'YG_18_9', 'YG_18_b1']"
