name,unified_sutra_code,sutra_code,sutra_name,reel_num,page_count,start_volume,start_page,end_volume,end_page,remark
GL_1_1,UN_246,GL_1,大般若波羅蜜多經,1,26,,,,,
GL_1_2,UN_246,GL_1,大般若波羅蜜多經,2,28,,,,,
GL_1_3,UN_246,GL_1,大般若波羅蜜多經,3,25,,,,,
GL_1_4,UN_246,GL_1,大般若波羅蜜多經,4,26,,,,,
GL_1_5,UN_246,GL_1,大般若波羅蜜多經,5,26,,,,,
GL_1_6,UN_246,GL_1,大般若波羅蜜多經,6,27,,,,,
GL_1_7,UN_246,GL_1,大般若波羅蜜多經,7,26,,,,,
GL_1_8,UN_246,GL_1,大般若波羅蜜多經,8,26,,,,,
GL_1_9,UN_246,GL_1,大般若波羅蜜多經,9,26,,,,,
GL_1_10,UN_246,GL_1,大般若波羅蜜多經,10,25,,,,,
GL_1_11,UN_246,GL_1,大般若波羅蜜多經,11,27,,,,,
GL_1_12,UN_246,GL_1,大般若波羅蜜多經,12,27,,,,,
GL_1_13,UN_246,GL_1,大般若波羅蜜多經,13,26,,,,,
GL_1_14,UN_246,GL_1,大般若波羅蜜多經,14,26,,,,,
GL_1_15,UN_246,GL_1,大般若波羅蜜多經,15,27,,,,,
GL_1_16,UN_246,GL_1,大般若波羅蜜多經,16,26,,,,,
GL_1_17,UN_246,GL_1,大般若波羅蜜多經,17,25,,,,,
GL_1_18,UN_246,GL_1,大般若波羅蜜多經,18,29,,,,,
GL_1_19,UN_246,GL_1,大般若波羅蜜多經,19,26,,,,,
GL_1_20,UN_246,GL_1,大般若波羅蜜多經,20,29,,,,,
GL_1_21,UN_246,GL_1,大般若波羅蜜多經,21,28,,,,,
GL_1_22,UN_246,GL_1,大般若波羅蜜多經,22,29,,,,,
GL_1_23,UN_246,GL_1,大般若波羅蜜多經,23,24,,,,,
GL_1_24,UN_246,GL_1,大般若波羅蜜多經,24,24,,,,,
GL_1_25,UN_246,GL_1,大般若波羅蜜多經,25,26,,,,,
GL_1_26,UN_246,GL_1,大般若波羅蜜多經,26,25,,,,,
GL_1_27,UN_246,GL_1,大般若波羅蜜多經,27,25,,,,,
GL_1_28,UN_246,GL_1,大般若波羅蜜多經,28,26,,,,,
GL_1_29,UN_246,GL_1,大般若波羅蜜多經,29,27,,,,,
GL_1_30,UN_246,GL_1,大般若波羅蜜多經,30,25,,,,,
GL_1_31,UN_246,GL_1,大般若波羅蜜多經,31,27,,,,,
GL_1_32,UN_246,GL_1,大般若波羅蜜多經,32,27,,,,,
GL_1_33,UN_246,GL_1,大般若波羅蜜多經,33,26,,,,,
GL_1_34,UN_246,GL_1,大般若波羅蜜多經,34,26,,,,,
GL_1_35,UN_246,GL_1,大般若波羅蜜多經,35,25,,,,,
GL_1_36,UN_246,GL_1,大般若波羅蜜多經,36,27,,,,,
GL_1_37,UN_246,GL_1,大般若波羅蜜多經,37,29,,,,,
GL_1_38,UN_246,GL_1,大般若波羅蜜多經,38,29,,,,,
GL_1_39,UN_246,GL_1,大般若波羅蜜多經,39,27,,,,,
GL_1_40,UN_246,GL_1,大般若波羅蜜多經,40,25,,,,,
