name,unified_sutra_code,sutra_code,sutra_name,reel_num,page_count,start_volume,start_page,end_volume,end_page,remark
KB_1_260,UN_246,KB_1,大般若波羅蜜多經,260,,1,1,1,19,
KB_1_581,UN_246,KB_1,大般若波羅蜜多經,581,,2,1,2,21,
KB_2_111,UN_342,KB_2,大寶積,111,,3,1,3,30,
KB_3_43,UN_432,KB_3,大方等大集經,43,,4,1,4,36,
KB_4_7,UN_292,KB_4,法華經,7,,5,1,5,11,
KB_5_1,UN_299,KB_5,阿惟越致遮經,1,,6,1,6,40,
KB_6_1,UN_1012,KB_6,大雲請雨品經,1,,7,1,7,32,
KB_7_30,UN_102,KB_7,雜阿含經,30,,8,1,8,6,
KB_7_39,UN_102,KB_7,雜阿含經,39,,9,1,9,5,
KB_8_19,UN_184,KB_8,佛本行集經,19,,10,1,10,26,
KB_9_46,UN_14961,KB_9,十誦律,46,,11,1,11,55,
KB_10_13,,KB_10,禦制秘藏詮,13,,12,1,12,23,
