name,unified_sutra_code,sutra_code,sutra_name,reel_num,page_count,start_volume,start_page,end_volume,end_page,remark
SZ_1,,SZ_1,宋藏遺珍敘目,1,,1,1,1,11,
SZ_2_1,UN_351,SZ_2,大聖文殊師利菩薩佛剎功德莊嚴經,1,,1,12,1,55,
SZ_2_2,UN_351,SZ_2,大聖文殊師利菩薩佛剎功德莊嚴經,2,,1,56,1,134,
SZ_2_3,UN_351,SZ_2,大聖文殊師利菩薩佛剎功德莊嚴經,3,,1,135,1,205,
SZ_3_1,UN_761,SZ_3,大方廣如來藏經,1,,2,1,2,70,
SZ_4_1,UN_973,SZ_4,金剛頂經一字頂輪王瑜伽一切時處念誦成佛儀軌,1,,2,71,2,120,
SZ_5_1,UN_1062,SZ_5,金剛頂降三世大儀軌法王教中觀自在菩薩心真言一切如來蓮華大曼荼羅品,1,,3,1,3,18,
SZ_6_1,UN_1189,SZ_6,修習般若波羅蜜菩薩觀行念誦儀軌,1,,3,19,3,56,
SZ_7_1,UN_125,SZ_7,佛說十力經,1,,3,57,3,96,
SZ_8_1,UN_1020,SZ_8,佛說迴向輪經,1,,3,97,3,112,
SZ_9_1,UN_120,SZ_9,佛說勝義空經,1,,3,113,3,116,
SZ_10_0,UN_128,SZ_10,佛說清淨心經,0,,3,117,3,122,
SZ_10_1,UN_128,SZ_10,佛說清淨心經,1,,3,122,3,132,
SZ_11_1,,SZ_11,大唐正元新譯十地等經記,1,,4,1,4,27,
SZ_12_1,UN_318,SZ_12,佛說十地經,1,,4,28,4,86,
SZ_12_2,UN_318,SZ_12,佛說十地經,2,,4,87,4,150,
SZ_12_3,UN_318,SZ_12,佛說十地經,3,,4,151,4,214,
SZ_12_4,UN_318,SZ_12,佛說十地經,4,,5,1,5,60,
SZ_12_5,UN_318,SZ_12,佛說十地經,5,,5,61,5,122,
SZ_12_6,UN_318,SZ_12,佛說十地經,6,,5,123,5,176,
SZ_12_7,UN_318,SZ_12,佛說十地經,7,,6,1,6,52,
SZ_12_8,UN_318,SZ_12,佛說十地經,8,,6,53,6,102,
SZ_12_9,UN_318,SZ_12,佛說十地經,9,,6,103,6,156,
SZ_13_0,UN_501,SZ_13,金色童子因緣經,0,,7,1,7,6,
SZ_13_1,UN_501,SZ_13,金色童子因緣經,1,,7,6,7,42,
SZ_13_2,UN_501,SZ_13,金色童子因緣經,2,,7,43,7,58,
SZ_13_3,UN_501,SZ_13,金色童子因緣經,3,,7,59,7,74,
SZ_13_4,UN_501,SZ_13,金色童子因緣經,4,,7,75,7,102,
SZ_13_5,UN_501,SZ_13,金色童子因緣經,5,,7,103,7,132,
SZ_13_6,UN_501,SZ_13,金色童子因緣經,6,,8,1,8,30,
SZ_13_7,UN_501,SZ_13,金色童子因緣經,7,,8,31,8,64,
SZ_13_8,UN_501,SZ_13,金色童子因緣經,8,,8,65,8,100,
SZ_13_9,UN_501,SZ_13,金色童子因緣經,9,,8,101,8,129,
SZ_13_10,UN_501,SZ_13,金色童子因緣經,10,,9,1,9,40,
SZ_13_11,UN_501,SZ_13,金色童子因緣經,11,,9,41,9,82,
SZ_13_12,UN_501,SZ_13,金色童子因緣經,12,,9,83,9,120,
SZ_14_0,UN_290,SZ_14,佛說開覺自性般若波羅蜜多經,0,,10,1,10,6,
SZ_14_1,UN_290,SZ_14,佛說開覺自性般若波羅蜜多經,1,,10,6,10,36,
SZ_14_2,UN_290,SZ_14,佛說開覺自性般若波羅蜜多經,2,,10,37,10,70,
SZ_14_3,UN_290,SZ_14,佛說開覺自性般若波羅蜜多經,3,,10,71,10,106,
SZ_14_4,UN_290,SZ_14,佛說開覺自性般若波羅蜜多經,4,,10,107,10,144,
SZ_15_1,UN_548,SZ_15,諸法集要經,1,,11,1,11,42,
SZ_15_2,UN_548,SZ_15,諸法集要經,2,,11,43,11,88,
SZ_15_3,UN_548,SZ_15,諸法集要經,3,,11,89,11,136,
SZ_15_4,UN_548,SZ_15,諸法集要經,4,,11,137,11,184,
SZ_15_5,UN_548,SZ_15,諸法集要經,5,,11,185,11,222,
SZ_15_6,UN_548,SZ_15,諸法集要經,6,,12,1,12,36,
SZ_15_7,UN_548,SZ_15,諸法集要經,7,,12,37,12,68,
SZ_15_8,UN_548,SZ_15,諸法集要經,8,,12,69,12,114,
SZ_15_9,UN_548,SZ_15,諸法集要經,9,,12,115,12,154,
SZ_15_10,UN_548,SZ_15,諸法集要經,10,,12,155,12,202,
SZ_16_0,UN_352,SZ_16,父子合集經,0,,13,1,13,6,
SZ_16_1,UN_352,SZ_16,父子合集經,1,,13,6,13,54,
SZ_16_2,UN_352,SZ_16,父子合集經,2,,13,55,13,90,
SZ_16_3,UN_352,SZ_16,父子合集經,3,,13,91,13,136,
SZ_16_4,UN_352,SZ_16,父子合集經,4,,13,137,13,172,
SZ_16_5,UN_352,SZ_16,父子合集經,5,,13,173,13,205,
SZ_16_6,UN_352,SZ_16,父子合集經,6,,14,1,14,36,
SZ_16_7,UN_352,SZ_16,父子合集經,7,,14,37,14,72,
SZ_16_8,UN_352,SZ_16,父子合集經,8,,14,73,14,112,
SZ_16_9,UN_352,SZ_16,父子合集經,9,,14,113,14,140,
SZ_16_10,UN_352,SZ_16,父子合集經,10,,14,141,14,178,
SZ_16_11,UN_352,SZ_16,父子合集經,11,,15,1,15,24,
SZ_16_12,UN_352,SZ_16,父子合集經,12,,15,25,15,46,
SZ_16_13,UN_352,SZ_16,父子合集經,13,,15,47,15,76,
SZ_16_14,UN_352,SZ_16,父子合集經,14,,15,77,15,106,
SZ_16_15,UN_352,SZ_16,父子合集經,15,,15,107,15,131,
SZ_16_16,UN_352,SZ_16,父子合集經,16,,16,1,16,20,
SZ_16_17,UN_352,SZ_16,父子合集經,17,,16,21,16,42,
SZ_16_18,UN_352,SZ_16,父子合集經,18,,16,43,16,60,
SZ_16_19,UN_352,SZ_16,父子合集經,19,,16,61,16,80,
SZ_16_20,UN_352,SZ_16,父子合集經,20,,16,81,16,105,
SZ_17_2,UN_466,SZ_17,佛說大乘僧伽吒法義經,2,,17,1,17,40,
SZ_17_6,UN_466,SZ_17,佛說大乘僧伽吒法義經,6,,17,41,17,80,
SZ_17_7,UN_466,SZ_17,佛說大乘僧伽吒法義經,7,,17,81,17,122,
SZ_18_1,UN_1555,SZ_18,佛說清淨毗奈耶最上大乘經,1,,17,123,17,152,
SZ_18_2,UN_1555,SZ_18,佛說清淨毗奈耶最上大乘經,2,,17,153,17,188,
SZ_19_1,UN_110,SZ_19,佛說隨勇尊者經,1,,17,189,17,202,
SZ_20_1,UN_1018,SZ_20,仁王般若陀羅尼釋,1,,17,203,17,232,
SZ_21_1,UN_2788,SZ_21,觀心論,1,,17,233,17,247,
SZ_22_1,UN_3969,SZ_22,大唐正元續開元釋教錄,1,,18,1,18,130,
SZ_22_2,UN_3969,SZ_22,大唐正元續開元釋教錄,2,,19,1,19,122,
SZ_22_3,UN_3969,SZ_22,大唐正元續開元釋教錄,3,,19,123,19,168,
SZ_23_1,,SZ_23,御製蓮華心輪迴文偈頌,1,,20,1,20,44,
SZ_23_2,,SZ_23,御製蓮華心輪迴文偈頌,2,,20,45,20,82,
SZ_23_3,,SZ_23,御製蓮華心輪迴文偈頌,3,,20,83,20,118,
SZ_23_4,,SZ_23,御製蓮華心輪迴文偈頌,4,,20,119,20,153,
SZ_23_5,,SZ_23,御製蓮華心輪迴文偈頌,5,,21,2,21,37,
SZ_23_6,,SZ_23,御製蓮華心輪迴文偈頌,6,,21,38,21,73,
SZ_23_7,,SZ_23,御製蓮華心輪迴文偈頌,7,,22,1,22,38,
SZ_23_8,,SZ_23,御製蓮華心輪迴文偈頌,8,,22,39,22,74,
SZ_23_9,,SZ_23,御製蓮華心輪迴文偈頌,9,,22,75,22,116,
SZ_23_10,,SZ_23,御製蓮華心輪迴文偈頌,10,,22,117,22,154,
SZ_23_11,,SZ_23,御製蓮華心輪迴文偈頌,11,,22,155,22,190,
SZ_23_12,,SZ_23,御製蓮華心輪迴文偈頌,12,,22,191,22,226,
SZ_23_13,,SZ_23,御製蓮華心輪迴文偈頌,13,,22,227,22,264,
SZ_23_14,,SZ_23,御製蓮華心輪迴文偈頌,14,,22,265,22,284,
SZ_23_15,,SZ_23,御製蓮華心輪迴文偈頌,15,,23,1,23,38,
SZ_23_16,,SZ_23,御製蓮華心輪迴文偈頌,16,,23,39,23,74,
SZ_23_17,,SZ_23,御製蓮華心輪迴文偈頌,17,,23,75,23,112,
SZ_23_18,,SZ_23,御製蓮華心輪迴文偈頌,18,,23,113,23,152,
SZ_23_19,,SZ_23,御製蓮華心輪迴文偈頌,19,,23,153,23,188,
SZ_23_20,,SZ_23,御製蓮華心輪迴文偈頌,20,,23,189,23,224,
SZ_23_21,,SZ_23,御製蓮華心輪迴文偈頌,21,,24,1,24,8,
SZ_23_22,,SZ_23,御製蓮華心輪迴文偈頌,22,,24,9,24,16,
SZ_23_23,,SZ_23,御製蓮華心輪迴文偈頌,23,,24,17,24,24,
SZ_23_24,,SZ_23,御製蓮華心輪迴文偈頌,24,,24,25,24,38,
SZ_23_25,,SZ_23,御製蓮華心輪迴文偈頌,25,,24,39,24,52,
SZ_24_1,,SZ_24,御注金剛般若經疏宣演,1,,25,3,25,122,
SZ_24_5,,SZ_24,御注金剛般若經疏宣演,5,,26,1,26,112,
SZ_24_3,,SZ_24,御注金剛般若經疏宣演,3,,27,1,27,118,
SZ_25_1,UN_2137,SZ_25,維摩疏記,1,,28,3,28,64,
SZ_25_2,UN_2137,SZ_25,維摩疏記,2,,28,65,28,128,
SZ_25_3,UN_2137,SZ_25,維摩疏記,3,,28,129,28,191,
SZ_25_4,UN_2137,SZ_25,維摩疏記,4,,29,1,29,46,
SZ_25_5,UN_2137,SZ_25,維摩疏記,5,,29,47,29,114,
SZ_25_6,UN_2137,SZ_25,維摩疏記,6,,29,115,29,169,
SZ_26_1,,SZ_26,雙峰山曹侯溪寶林傳,1,,30,3,30,70,
SZ_26_2,,SZ_26,雙峰山曹侯溪寶林傳,2,,30,71,30,134,
SZ_26_3,,SZ_26,雙峰山曹侯溪寶林傳,3,,30,135,30,244,
SZ_26_4,,SZ_26,雙峰山曹侯溪寶林傳,4,,31,1,31,88,
SZ_26_5,,SZ_26,雙峰山曹侯溪寶林傳,5,,31,89,31,192,
SZ_26_6,,SZ_26,雙峰山曹侯溪寶林傳,6,,32,1,32,86,
SZ_26_7,,SZ_26,雙峰山曹侯溪寶林傳,7,,32,,32,,
SZ_26_8,,SZ_26,雙峰山曹侯溪寶林傳,8,,32,87,32,178,
SZ_27_2,UN_3703,SZ_27,傳燈玉英集,2,,33,1,33,72,
SZ_27_3,UN_3703,SZ_27,傳燈玉英集,3,,33,73,33,134,
SZ_27_4,UN_3703,SZ_27,傳燈玉英集,4,,33,,33,,
SZ_27_5,UN_3703,SZ_27,傳燈玉英集,5,,33,135,33,215,
SZ_27_6,UN_3703,SZ_27,傳燈玉英集,6,,34,1,34,70,
SZ_27_7,UN_3703,SZ_27,傳燈玉英集,7,,34,,34,,
SZ_27_8,UN_3703,SZ_27,傳燈玉英集,8,,34,71,34,138,
SZ_27_10,UN_3703,SZ_27,傳燈玉英集,10,,35,1,35,84,
SZ_27_11,UN_3703,SZ_27,傳燈玉英集,11,,35,,35,,
SZ_27_12,UN_3703,SZ_27,傳燈玉英集,12,,35,85,35,166,
SZ_27_14,UN_3703,SZ_27,傳燈玉英集,14,,36,1,36,136,
SZ_27_15,UN_3703,SZ_27,傳燈玉英集,15,,36,137,36,213,
SZ_28_0,UN_3957,SZ_28,景祐天竺字源,0,,37,1,37,5,
SZ_28_1,UN_3957,SZ_28,景祐天竺字源,1,,37,6,37,44,
SZ_28_2,UN_3957,SZ_28,景祐天竺字源,2,,37,45,37,78,
SZ_28_3,UN_3957,SZ_28,景祐天竺字源,3,,38,1,38,99,
SZ_28_4,UN_3957,SZ_28,景祐天竺字源,4,,39,1,39,66,
SZ_28_5,UN_3957,SZ_28,景祐天竺字源,5,,39,67,39,142,
SZ_28_6,UN_3957,SZ_28,景祐天竺字源,6,,40,1,40,72,
SZ_28_7,UN_3957,SZ_28,景祐天竺字源,7,,40,73,40,110,
SZ_29_1,UN_2452-1,SZ_29,成唯識論述記,1,,41,5,41,171,
SZ_29_2,UN_2452-1,SZ_29,成唯識論述記,2,,42,1,42,194,
SZ_29_4,UN_2452-1,SZ_29,成唯識論述記,4,,43,1,43,26,
SZ_29_7,UN_2452-1,SZ_29,成唯識論述記,7,,43,27,43,206,
SZ_29_8,UN_2452-1,SZ_29,成唯識論述記,8,,44,1,44,170,
