name,unified_sutra_code,sutra_code,sutra_name,reel_num,page_count,start_volume,start_page,end_volume,end_page,remark
ZH_1_0,UN_246,ZH_1,大般若波羅蜜多經,0,,1,1,1,2,
ZH_1_1,UN_246,ZH_1,大般若波羅蜜多經,1,,1,2,1,10,
ZH_1_2,UN_246,ZH_1,大般若波羅蜜多經,2,,1,11,1,20,
ZH_1_3,UN_246,ZH_1,大般若波羅蜜多經,3,,1,21,1,30,
ZH_1_4,UN_246,ZH_1,大般若波羅蜜多經,4,,1,31,1,40,
ZH_1_5,UN_246,ZH_1,大般若波羅蜜多經,5,,1,41,1,50,
ZH_1_6,UN_246,ZH_1,大般若波羅蜜多經,6,,1,51,1,60,
ZH_1_7,UN_246,ZH_1,大般若波羅蜜多經,7,,1,61,1,70,
ZH_1_8,UN_246,ZH_1,大般若波羅蜜多經,8,,1,71,1,79,
ZH_1_9,UN_246,ZH_1,大般若波羅蜜多經,9,,1,80,1,89,
ZH_1_10,UN_246,ZH_1,大般若波羅蜜多經,10,,1,90,1,98,
ZH_1_11,UN_246,ZH_1,大般若波羅蜜多經,11,,1,99,1,108,
ZH_1_12,UN_246,ZH_1,大般若波羅蜜多經,12,,1,109,1,118,
ZH_1_13,UN_246,ZH_1,大般若波羅蜜多經,13,,1,119,1,127,
ZH_1_14,UN_246,ZH_1,大般若波羅蜜多經,14,,1,128,1,137,
ZH_1_15,UN_246,ZH_1,大般若波羅蜜多經,15,,1,138,1,147,
ZH_1_16,UN_246,ZH_1,大般若波羅蜜多經,16,,1,148,1,157,
ZH_1_17,UN_246,ZH_1,大般若波羅蜜多經,17,,1,158,1,167,
ZH_1_18,UN_246,ZH_1,大般若波羅蜜多經,18,,1,168,1,178,
ZH_1_19,UN_246,ZH_1,大般若波羅蜜多經,19,,1,179,1,188,
ZH_1_20,UN_246,ZH_1,大般若波羅蜜多經,20,,1,189,1,204,
ZH_1_21,UN_246,ZH_1,大般若波羅蜜多經,21,,1,205,1,,
ZH_1_22,UN_246,ZH_1,大般若波羅蜜多經,22,,1,,1,,
ZH_1_23,UN_246,ZH_1,大般若波羅蜜多經,23,,1,,1,,
ZH_1_24,UN_246,ZH_1,大般若波羅蜜多經,24,,1,,1,236,
ZH_1_25,UN_246,ZH_1,大般若波羅蜜多經,25,,1,237,1,246,
ZH_1_26,UN_246,ZH_1,大般若波羅蜜多經,26,,1,247,1,255,
ZH_1_27,UN_246,ZH_1,大般若波羅蜜多經,27,,1,,1,266,
ZH_1_28,UN_246,ZH_1,大般若波羅蜜多經,28,,1,267,1,276,
ZH_1_29,UN_246,ZH_1,大般若波羅蜜多經,29,,1,277,1,287,
ZH_1_30,UN_246,ZH_1,大般若波羅蜜多經,30,,1,,1,,
ZH_1_31,UN_246,ZH_1,大般若波羅蜜多經,31,,1,,1,,
ZH_1_32,UN_246,ZH_1,大般若波羅蜜多經,32,,1,,1,,
ZH_1_33,UN_246,ZH_1,大般若波羅蜜多經,33,,1,321,1,330,
ZH_1_34,UN_246,ZH_1,大般若波羅蜜多經,34,,1,331,1,340,
ZH_1_35,UN_246,ZH_1,大般若波羅蜜多經,35,,1,341,1,350,
ZH_1_36,UN_246,ZH_1,大般若波羅蜜多經,36,,1,351,1,360,
ZH_1_37,UN_246,ZH_1,大般若波羅蜜多經,37,,1,361,1,371,
ZH_1_38,UN_246,ZH_1,大般若波羅蜜多經,38,,1,372,1,382,
ZH_1_39,UN_246,ZH_1,大般若波羅蜜多經,39,,1,383,1,393,
ZH_1_40,UN_246,ZH_1,大般若波羅蜜多經,40,,1,394,1,402,
ZH_1_41,UN_246,ZH_1,大般若波羅蜜多經,41,,1,403,1,413,
ZH_1_42,UN_246,ZH_1,大般若波羅蜜多經,42,,1,414,1,422,
ZH_1_43,UN_246,ZH_1,大般若波羅蜜多經,43,,1,423,1,432,
ZH_1_44,UN_246,ZH_1,大般若波羅蜜多經,44,,1,433,1,454,
ZH_1_45,UN_246,ZH_1,大般若波羅蜜多經,45,,1,454,1,455,
ZH_1_46,UN_246,ZH_1,大般若波羅蜜多經,46,,1,456,1,465,
ZH_1_47,UN_246,ZH_1,大般若波羅蜜多經,47,,1,466,1,475,
ZH_1_48,UN_246,ZH_1,大般若波羅蜜多經,48,,1,476,1,485,
ZH_1_49,UN_246,ZH_1,大般若波羅蜜多經,49,,1,486,1,495,
ZH_1_50,UN_246,ZH_1,大般若波羅蜜多經,50,,1,496,1,504,
ZH_1_51,UN_246,ZH_1,大般若波羅蜜多經,51,,1,505,1,513,
ZH_1_52,UN_246,ZH_1,大般若波羅蜜多經,52,,1,514,1,524,
ZH_1_53,UN_246,ZH_1,大般若波羅蜜多經,53,,1,525,1,534,
ZH_1_54,UN_246,ZH_1,大般若波羅蜜多經,54,,1,535,1,544,
ZH_1_55,UN_246,ZH_1,大般若波羅蜜多經,55,,1,545,1,554,
ZH_1_56,UN_246,ZH_1,大般若波羅蜜多經,56,,1,555,1,564,
ZH_1_57,UN_246,ZH_1,大般若波羅蜜多經,57,,1,565,1,573,
ZH_1_58,UN_246,ZH_1,大般若波羅蜜多經,58,,1,574,1,582,
ZH_1_59,UN_246,ZH_1,大般若波羅蜜多經,59,,1,583,1,592,
ZH_1_60,UN_246,ZH_1,大般若波羅蜜多經,60,,1,593,1,602,
ZH_1_61,UN_246,ZH_1,大般若波羅蜜多經,61,,1,603,1,611,
ZH_1_62,UN_246,ZH_1,大般若波羅蜜多經,62,,1,612,1,623,
ZH_1_63,UN_246,ZH_1,大般若波羅蜜多經,63,,1,624,1,632,
ZH_1_64,UN_246,ZH_1,大般若波羅蜜多經,64,,1,633,1,643,
ZH_1_65,UN_246,ZH_1,大般若波羅蜜多經,65,,1,644,1,653,
ZH_1_66,UN_246,ZH_1,大般若波羅蜜多經,66,,1,654,1,662,
ZH_1_67,UN_246,ZH_1,大般若波羅蜜多經,67,,1,663,1,671,
ZH_1_68,UN_246,ZH_1,大般若波羅蜜多經,68,,1,672,1,681,
ZH_1_69,UN_246,ZH_1,大般若波羅蜜多經,69,,1,682,1,691,
ZH_1_70,UN_246,ZH_1,大般若波羅蜜多經,70,,1,692,1,701,
ZH_1_71,UN_246,ZH_1,大般若波羅蜜多經,71,,1,702,1,711,
ZH_1_72,UN_246,ZH_1,大般若波羅蜜多經,72,,1,712,1,720,
ZH_1_73,UN_246,ZH_1,大般若波羅蜜多經,73,,1,721,1,729,
ZH_1_74,UN_246,ZH_1,大般若波羅蜜多經,74,,1,730,1,739,
ZH_1_75,UN_246,ZH_1,大般若波羅蜜多經,75,,1,740,1,748,
ZH_1_76,UN_246,ZH_1,大般若波羅蜜多經,76,,1,749,1,756,
ZH_1_77,UN_246,ZH_1,大般若波羅蜜多經,77,,1,757,1,765,
ZH_1_78,UN_246,ZH_1,大般若波羅蜜多經,78,,1,766,1,774,
ZH_1_79,UN_246,ZH_1,大般若波羅蜜多經,79,,1,775,1,783,
ZH_1_80,UN_246,ZH_1,大般若波羅蜜多經,80,,1,784,1,792,
ZH_1_81,UN_246,ZH_1,大般若波羅蜜多經,81,,1,793,1,802,
ZH_1_82,UN_246,ZH_1,大般若波羅蜜多經,82,,1,803,1,811,
ZH_1_83,UN_246,ZH_1,大般若波羅蜜多經,83,,1,812,1,820,
ZH_1_84,UN_246,ZH_1,大般若波羅蜜多經,84,,1,821,1,829,
