name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,start_page,end_volume,end_page,remark
HW_1,UN_246,HW_1,大般若波羅蜜多經,600,600,1,2,22,271,
HW_2,UN_247,HW_2,放光般若波羅蜜經,30,30,22,273,23,230,
HW_3,UN_249,HW_3,摩訶般若波羅蜜經,30,30,23,232,24,277,
HW_4,UN_248,HW_4,光讃般若波羅蜜經,10,10,24,279,24,495,
HW_5,UN_252,HW_5,摩訶般若波羅蜜鈔經,5,5,24,497,25,21,
HW_6,UN_250,HW_6,道行般若波羅蜜經,10,10,25,23,25,225,
HW_7,UN_253,HW_7,小品般若波羅蜜經,10,10,25,227,25,419,
HW_8,UN_256,HW_8,勝天王般若波羅蜜經,7,7,25,421,25,570,
HW_9,UN_251,HW_9,大明度無極經,6,6,25,572,26,96,
HW_10,UN_259,HW_10,佛說濡首菩薩無上清淨分衛經,2,2,26,98,26,131,
HW_11,UN_261,HW_11,金剛般若波羅蜜經(元魏留支譯）,1,1,26,133,26,148,
HW_12,UN_262,HW_12,金剛般若波羅蜜經（陳真諦譯）,1,1,26,150,26,166,
HW_13,UN_263,HW_13,金剛能斷般若波羅蜜經（隋笈多譯）,1,1,26,168,26,185,
HW_14,UN_265,HW_14,能斷金剛般若波羅蜜多經（唐義凈譯）,1,1,26,187,26,199,
HW_15,UN_264,HW_15,能斷金剛般若波羅蜜多經（唐玄奘譯）,2,2,26,201,26,221,
HW_16,UN_266,HW_16,實相般若波羅蜜經,1,1,26,223,26,233,
HW_17,UN_271,HW_17,仁王護國般若波羅蜜經（鸠摩罗什）,2,2,26,235,26,266,
HW_18,UN_258,HW_18,文殊師利所說般若波羅蜜經,1,1,26,268,26,289,
HW_19,UN_342,HW_19,大寶積經,120,120,26,291,30,462,
HW_20,UN_343,HW_20,大方廣三戒經,3,3,30,464,30,522,
HW_21,UN_391,HW_21,佛说無量清淨平等覺經,2,2,30,524,31,34,
HW_22,UN_392,HW_22,佛说阿彌陀經,2,2,31,36,31,99,
HW_23,UN_390,HW_23,佛说無量壽經,2,2,31,101,31,146,
HW_24,UN_345,HW_24,佛說阿閦佛國經,2,2,31,148,31,191,
HW_25,UN_346,HW_25,佛說大乘十法經,1,1,31,193,31,216,
HW_26,UN_347,HW_26,佛說普門品經,1,1,31,218,31,230,
HW_27,UN_349,HW_27,佛說胞胎經,1,1,31,232,31,248,
HW_28,UN_350,HW_28,文殊師利佛土嚴淨經,2,2,31,250,31,290,
HW_29,UN_355,HW_29,法鏡經,1,1,31,292,31,306,
HW_30,UN_354,HW_30,郁迦羅越問菩薩行經,1,1,31,308,31,335,
HW_31,UN_356,HW_31,幻士仁賢經,1,1,31,337,31,356,
HW_32,UN_357,HW_32,佛说決定毘尼經,1,1,31,358,31,377,
HW_33,UN_359,HW_33,發覺淨心經,2,2,31,379,31,411,
HW_34,UN_364,HW_34,佛說優填王經,1,1,31,413,31,417,
HW_35,,HW_35,佛說須摩提經,1,1,31,419,31,427,
HW_36,UN_366,HW_36,佛說須摩提菩薩經,1,1,31,429,31,439,
HW_37,UN_368,HW_37,佛說離垢施女經,1,1,31,441,31,467,
HW_38,UN_367,HW_38,佛说阿闍世王女阿述達菩薩經,1,1,31,469,31,489,
HW_39,UN_369,HW_39,得無垢女經,1,1,31,491,31,520,
HW_40,UN_370,HW_40,文殊師利所說不思議佛境界經,2,2,31,522,31,548,
HW_41,UN_372,HW_41,佛說如幻三昧經,3,3,31,550,32,43,
HW_42,UN_371,HW_42,善住意天子所問經,3,3,32,45,32,112,
HW_43,UN_373,HW_43,太子刷護經,1,1,32,114,32,118,
HW_44,UN_374,HW_44,太子和休經,1,1,32,120,32,123,
HW_45,UN_375,HW_45,慧上菩薩問大善權經,2,2,32,125,32,162,
HW_46,UN_377,HW_46,大乘顯識經,2,2,32,164,32,196,
HW_47,UN_378,HW_47,佛說大乘方等要慧經,1,1,32,198,32,198,
HW_48,UN_379,HW_48,彌勒菩薩所問本願經,1,1,32,200,32,208,
HW_49,UN_380,HW_49,佛遺日摩尼寶經,1,1,32,210,32,227,
HW_50,UN_381,HW_50,佛說摩訶衍寶嚴經,1,1,32,229,32,251,
HW_51,UN_383,HW_51,勝鬘師子吼一乘大方便方廣經,1,1,32,253,32,274,
HW_52,UN_384,HW_52,毗耶娑問經,2,2,32,276,32,314,
HW_53,UN_433,HW_53,大方等大集經,30,30,32,316,33,468,
HW_54,UN_434,HW_54,大乘大方等日藏經,10,10,33,470,34,135,
HW_55,UN_435,HW_55,大方等大集月藏經,10,10,34,137,34,405,
HW_56,UN_451,HW_56,大乘大集地藏十輪經,10,10,34,407,35,37,
HW_57,UN_452,HW_57,大方廣十輪經,8,8,35,39,35,172,
HW_58,UN_436,HW_58,大集須彌藏經,2,2,35,174,35,218,
HW_59,UN_449,HW_59,虛空孕菩薩經,2,2,35,220,35,255,
HW_60,UN_446,HW_60,虛空藏菩薩經,1,1,35,257,35,285,
HW_61,UN_447,HW_61,虛空藏菩薩神咒經,1,1,35,287,35,305,
HW_62,UN_450,HW_62,觀虛空藏菩薩經,1,1,35,307,35,310,
HW_63,UN_455,HW_63,佛說菩薩念佛三昧經,6,6,35,312,35,431,
HW_64,UN_456,HW_64,佛說大方等大集菩薩念佛三昧經,10,10,35,433,36,15,
HW_65,UN_458,HW_65,般舟三昧經,3,3,36,17,36,77,
HW_66,UN_460,HW_66,拔陂菩萨经,1,1,36,79,36,95,
HW_67,UN_457,HW_67,大方等大集賢護經,5,5,36,97,36,195,
HW_68,UN_438,HW_68,阿差末菩薩經,7,7,36,197,36,310,
HW_69,UN_437,HW_69,無盡意菩薩經,4,4,36,312,36,418,
HW_70,UN_463,HW_70,大集譬喻王經,2,2,36,420,36,460,
HW_71,UN_440,HW_71,大哀經,8,8,36,462,37,38,
HW_72,UN_441,HW_72,寶女所問經,4,4,37,40,37,118,
HW_73,UN_443,HW_73,無言童子經,2,2,37,120,37,168,
HW_74,UN_461,HW_74,自在王菩薩經,2,2,37,170,37,210,
HW_75,UN_462,HW_75,奮迅王問經,2,2,37,212,37,259,
HW_76,UN_445,HW_76,寶星陀羅尼經,8,8,37,261,37,422,
HW_77,UN_310,HW_77,大方廣佛華嚴經,60,60,37,424,40,55,
HW_78,UN_337,HW_78,信力入印法門經,5,5,40,57,40,169,
HW_79,UN_335,HW_79,度諸佛境界智光嚴經,1,1,40,171,40,190,
HW_80,UN_336,HW_80,佛華嚴入如來德智不思議境界經,1,1,40,192,40,216,
HW_81,UN_461,HW_81,大方廣入如來智德不思議經,1,1,40,218,40,233,
HW_82,UN_338,HW_82,大方廣佛華嚴經修慈分,1,1,40,235,40,242,
HW_83,UN_332,HW_83,大方廣如來不思議境界經,1,1,40,244,40,257,
HW_84,UN_333,HW_84,大方廣佛華嚴經不思議佛境界分,1,1,40,257,40,270,
HW_85,UN_1163,HW_85,大乘金剛髻珠菩薩修行分經,1,1,40,272,40,292,
HW_86,UN_330,HW_86,大方廣普賢所說經,1,1,40,294,40,300,
HW_87,UN_339,HW_87,莊嚴菩提心經,1,1,40,300,40,307,
HW_88,UN_312,HW_88,佛說菩薩本業經,1,1,40,309,40,322,
HW_89,UN_313,HW_89,諸菩薩求佛本業經,1,1,40,324,40,335,
HW_90,UN_314,HW_90,菩薩十住行道品經,1,1,40,337,40,345,
HW_91,UN_315,HW_91,佛說菩薩十住經,1,1,40,347,40,352,
HW_92,UN_316,HW_92,漸備一切智德經,5,5,40,354,40,486,
HW_93,UN_317,HW_93,十住經,6,6,40,488,41,38,
HW_94,UN_317,HW_94,顯無邊佛土功德經,1,1,41,38,41,40,
HW_95,UN_319,HW_95,等目菩薩所問三昧經,3,3,41,42,41,104,
HW_96,UN_322,HW_96,佛說如來興顯經,4,4,41,106,41,191,
HW_97,UN_323,HW_97,度世品經,6,6,41,193,41,343,
HW_98,UN_326,HW_98,羅摩伽經,4,4,41,345,41,434,
HW_99,UN_409,HW_99,大般涅盤經,40,40,41,436,43,144,
HW_100,UN_412,HW_100,大般涅盤經後分,2,2,43,146,43,193,
HW_101,UN_411,HW_101,大般泥洹經,6,6,43,195,43,366,
HW_102,UN_413,HW_102,佛说方等般泥洹經,2,2,43,368,43,424,
HW_103,UN_414,HW_103,四童子三昧經,3,3,43,426,43,483,
HW_104,UN_415,HW_104,大悲經,5,5,43,485,44,20,
HW_105,UN_244,HW_105,方廣大莊嚴經,12,12,44,22,44,295,
HW_106,UN_245,HW_106,普曜經,8,8,44,297,44,479,
HW_107,,HW_107,佛说無量意經,1,1,44,481,44,502,
HW_108,UN_293,HW_108,正法華經,10,10,44,504,45,157,
HW_109,UN_647,HW_109,說無垢稱經,6,6,45,159,45,271,
HW_110,UN_649,HW_110,大方等頂王經,1,1,45,273,45,299,
HW_111,UN_650,HW_111,大乘頂王經,1,1,45,301,45,323,
HW_112,UN_648,HW_112,善思童子經,2,2,45,325,45,354,
HW_113,UN_218,HW_113,大乘大悲分陀利經,8,8,45,356,45,561,
HW_114,UN_217,HW_114,悲華經,10,10,45,563,46,215,
HW_115,UN_757,HW_115,金光明最勝王經,10,10,46,217,46,410,
HW_116,UN_759,HW_116,合部金光明經,8,8,46,412,46,558,
HW_117,UN_725,HW_117,大樹緊那羅王所問經,4,4,46,560,47,64,
HW_118,UN_833,HW_118,佛升忉利天為母說法經,3,3,47,66,47,111,
HW_119,UN_834,HW_119,道神足無極變化經,4,4,47,113,47,174,
HW_120,UN_659,HW_120,佛說寶雨經,10,10,47,176,47,351,
HW_121,UN_660,HW_121,寶雲經,7,7,47,353,47,476,
HW_122,UN_299,HW_122,阿惟越致遮經,4,4,47,478,47,568,
HW_123,UN_298,HW_123,不退轉法輪經,4,4,47,570,48,70,
HW_124,UN_297,HW_124,廣博嚴淨不退轉法輪經,4,4,48,72,48,172,
HW_125,UN_745,HW_125,入定不定印經,1,1,48,174,48,193,
HW_126,UN_746,HW_126,不必定入定入印經,1,1,48,195,48,218,
HW_127,UN_417,HW_127,等集眾德三昧經,3,3,48,220,48,279,
HW_128,UN_416,HW_128,集一切福德三昧經,3,3,48,281,48,341,
HW_129,UN_709,HW_129,持心梵天所問經,4,4,48,343,48,456,
HW_130,UN_708,HW_130,思益梵天所問經,4,4,48,458,48,560,
HW_131,UN_710,HW_131,勝思維梵天所問經,6,6,48,562,49,106,
HW_132,UN_653,HW_132,持人菩萨所问經,4,4,49,108,49,172,
HW_133,UN_652,HW_133,持世經,4,4,49,174,49,266,
