name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,start_page,end_volume,end_page,remark
KB_1,UN_246,KB_1,大般若波羅蜜多經,581,1,1,1,2,21,
KB_2,UN_342,KB_2,大寶積,111,1,3,1,3,30,
KB_3,UN_432,KB_3,大方等大集經,43,1,4,1,4,36,
KB_4,UN_292,KB_4,法華經,7,1,5,1,5,11,
KB_5,UN_299,KB_5,阿惟越致遮經,1,1,6,1,6,40,
KB_6,UN_1012,KB_6,大雲請雨品經,1,1,7,1,7,32,
KB_7,UN_102,KB_7,雜阿含經,39,1,8,1,9,5,
KB_8,UN_184,KB_8,佛本行集經,19,1,10,1,10,26,
KB_9,UN_14961,KB_9,十誦律,46,1,11,1,11,55,
KB_10,,KB_10,禦制秘藏詮,13,1,12,1,12,23,
