name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,start_page,end_volume,end_page,remark
QL_1,UN_246,QL_1,大般若波羅蜜多經,600,600,9,479,14,82,
QL_2,UN_247,QL_2,放光般若波羅蜜經,30,,14,84,14,522,
QL_3,UN_249,QL_3,摩訶般若波羅蜜經,30,,14,524,15,378,
QL_4,UN_248,QL_4,光讚般若波羅蜜經,10,,15,380,15,547,
QL_5,UN_250,QL_5,道行般若波羅蜜經,10,,15,550,15,709,
QL_6,UN_253,QL_6,小品般若波羅蜜經,10,,16,2,16,150,
QL_7,UN_252,QL_7,摩訶般若波羅蜜鈔經,5,,16,152,16,236,
QL_8,UN_251,QL_8,大明度無極經,6,,16,238,16,326,
QL_9,UN_256,QL_9,勝天王般若波羅蜜經,7,,16,328,16,443,
QL_10,UN_260,QL_10,金剛般若波羅蜜經,1,,16,446,16,458,
QL_11,UN_261,QL_11,金剛般若波羅蜜經,1,,16,459,16,471,
QL_12,UN_262,QL_12,金剛般若波羅蜜經,1,,16,472,16,485,
QL_13,UN_264,QL_13,能斷金剛般若波羅蜜經,1,,16,488,16,505,
QL_14,UN_265,QL_14,能斷金剛般若波羅蜜經,1,,16,506,16,516,
QL_15,UN_263,QL_15,金剛能斷般若波羅蜜多經,1,,16,518,16,532,
QL_16,UN_259,QL_16,佛說濡首菩薩無上清淨分衛經,2,,16,534,16,561,
QL_17,UN_272,QL_17,仁王護國般若波羅蜜經,2,,16,564,16,590,
QL_18,UN_266,QL_18,實相般若波羅蜜經,1,,16,592,16,599,
QL_19,UN_278,QL_19,摩訶般若波羅蜜大明咒經,1,,16,602,16,603,
QL_20,UN_277,QL_20,般若波羅蜜多心經,1,,16,606,16,607,
QL_21,UN_257,QL_21,文殊師利所說摩訶般若波羅蜜經,1,,16,610,16,629,
QL_22,UN_258,QL_22,文殊師利所說般若波羅蜜經,1,,16,632,16,650,
QL_23,UN_342,QL_23,大寶積經,120,,17,2,19,464,
QL_24,UN_343,QL_24,大方廣三戒經,3,,19,466,19,512,
QL_25,UN_391,QL_25,佛說無量清淨平等覺經,3,,19,514,19,572,
QL_26,UN_392,QL_26,佛說阿彌陀經,2,,19,574,19,624,
QL_27,UN_390,QL_27,佛說無量壽經,2,,19,626,19,662,
QL_28,UN_345,QL_28,佛說阿閦佛國經,3,,20,2,20,39,
