name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,start_page,end_volume,end_page,remark
SZ_1,,SZ_1,宋藏遺珍敘目,1,1,1,1,1,11,
SZ_2,UN_351,SZ_2,大聖文殊師利菩薩佛剎功德莊嚴經,3,3,1,12,1,205,
SZ_3,UN_761,SZ_3,大方廣如來藏經,1,1,2,1,2,70,
SZ_4,UN_973,SZ_4,金剛頂經一字頂輪王瑜伽一切時處念誦成佛儀軌,1,1,2,71,2,120,
SZ_5,UN_1062,SZ_5,金剛頂降三世大儀軌法王教中觀自在菩薩心真言一切如來蓮華大曼荼羅品,1,1,3,1,3,18,
SZ_6,UN_1189,SZ_6,修習般若波羅蜜菩薩觀行念誦儀軌,1,1,3,19,3,56,
SZ_7,UN_125,SZ_7,佛說十力經,1,1,3,57,3,96,
SZ_8,UN_1020,SZ_8,佛說迴向輪經,1,1,3,97,3,112,
SZ_9,UN_120,SZ_9,佛說勝義空經,1,1,3,113,3,116,
SZ_10,UN_128,SZ_10,佛說清淨心經,1,1,3,117,3,132,
SZ_11,,SZ_11,大唐正元新譯十地等經記,1,1,4,1,4,27,
SZ_12,UN_318,SZ_12,佛說十地經,9,9,4,28,6,156,
SZ_13,UN_501,SZ_13,金色童子因緣經,12,12,7,1,9,120,
SZ_14,UN_290,SZ_14,佛說開覺自性般若波羅蜜多經,4,4,10,1,10,144,
SZ_15,UN_548,SZ_15,諸法集要經,10,10,11,1,12,202,
SZ_16,UN_352,SZ_16,父子合集經,20,20,13,1,16,105,
SZ_17,UN_466,SZ_17,佛說大乘僧伽吒法義經,2,2,17,1,17,122,
SZ_18,UN_1555,SZ_18,佛說清淨毗奈耶最上大乘經,2,2,17,123,17,188,
SZ_19,UN_110,SZ_19,佛說隨勇尊者經,1,1,17,189,17,202,
SZ_20,UN_1018,SZ_20,仁王般若陀羅尼釋,1,1,17,203,17,232,
SZ_21,UN_2788,SZ_21,觀心論,1,1,17,233,17,247,
SZ_22,UN_3969,SZ_22,大唐正元續開元釋教錄,3,3,18,1,19,168,
SZ_23,,SZ_23,御製蓮華心輪迴文偈頌,25,25,20,1,24,52,
SZ_24,,SZ_24,御注金剛般若經疏宣演,3,3,25,3,26,112,
SZ_25,UN_2137,SZ_25,維摩疏記,6,6,28,3,29,169,
SZ_26,,SZ_26,雙峰山曹侯溪寶林傳,8,8,30,3,32,178,
SZ_27,UN_3703,SZ_27,傳燈玉英集,15,15,33,1,36,213,
SZ_28,UN_3957,SZ_28,景祐天竺字源,7,7,37,1,40,110,
SZ_29,UN_2452-1,SZ_29,成唯識論述記,10,10,41,5,46,155,
SZ_30,UN_2452-2,SZ_30,成唯識論述記科文,2,2,47,1,47,144,
SZ_31,UN_2453,SZ_31,成唯識論掌中樞要,3,3,48,1,50,102,
SZ_32,UN_2497,SZ_32,因明論理門十四過類疏,1,1,51,1,51,52,
SZ_33,UN_2583,SZ_33,法苑義林,5,5,52,1,53,114,
SZ_34,UN_2496,SZ_34,因明入正理論疏,3,3,54,1,55,124,
SZ_35,UN_1849,SZ_35,般若波羅蜜多心經幽贊,1,1,56,1,56,64,
SZ_36,UN_2074,SZ_36,阿彌陀經通贊疏,2,2,56,65,56,139,
SZ_37,UN_1943,SZ_37,妙法蓮華經玄贊,4,4,57,1,59,115,
SZ_38,UN_2446,SZ_38,瑜伽師地論略纂疏,15,15,60,1,67,86,
SZ_39,UN_2449,SZ_39,瑜伽師地論義演,40,40,68,1,87,,
SZ_40,UN_2448,SZ_40,瑜伽師地論記,20,20,88,2,100,161,
SZ_41,UN_3968,SZ_41,大唐開元釋教廣品歷章,20,20,101,1,107,159,
SZ_42,UN_3973,SZ_42,大中祥符法寶錄,20,20,108,1,111,143,
SZ_43,UN_3974,SZ_43,天聖釋教總錄,3,3,112,2,112,153,
SZ_44,UN_3975,SZ_44,景祐新修法寶錄,18,18,116,47,116,46,
SZ_45,,SZ_45,觀彌勒菩薩上生兜率天經疏,3,3,117,1,118,86,
SZ_46,UN_2122,SZ_46,上生經疏會古通今新鈔,4,4,119,1,120,52,
SZ_47,UN_2123,SZ_47,上生經疏隨新鈔科文,1,1,120,53,120,83,
