name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,start_page,end_volume,end_page,remark
ZC_1,UN_246,ZC_1,大般若波羅蜜多經,600,118,1,1,4,426,
ZC_2,UN_247,ZC_2,放光般若經,20,3,4,427,4,536,
ZC_3,UN_249,ZC_3,摩訶般若波羅蜜經,27,7,4,537,4,771,
ZC_4,UN_248,ZC_4,光讚經,10,2,4,773,4,842,
ZC_5,UN_252,ZC_5,摩訶般若鈔經,5,0,4,,4,,
ZC_6,UN_249,ZC_6,摩訶般若波羅蜜經,27,1,5,1,5,34,
ZC_7,UN_250,ZC_7,道行般若經,10,2,5,35,5,82,
ZC_8,UN_253,ZC_8,小品般若波羅蜜經,10,5,5,83,5,189,
ZC_9,UN_256,ZC_9,勝天王般若波羅蜜經,7,3,5,191,5,272,
ZC_10,UN_251,ZC_10,大明度經,6,3,5,273,5,348,
ZC_11,UN_257,ZC_11,文殊師利所説摩訶般若波羅蜜經,2,1,5,349,5,364,
ZC_12,UN_258,ZC_12,文殊師利所説般若波羅蜜經,1,0,5,364,5,364,
ZC_13,UN_259,ZC_13,佛説濡首菩薩無上清淨分衛經,1,0,5,364,5,364,
ZC_14,UN_260,ZC_14,金剛般若波羅蜜經,1,0,5,364,5,364,
ZC_15,UN_261,ZC_15,金剛般若波羅蜜經,1,1,5,365,5,385,
ZC_16,UN_262,ZC_16,金剛般若波羅蜜經,1,1,5,387,5,408,
ZC_17,UN_264,ZC_17,能斷金剛般若波羅蜜經,2,1,5,409,5,426,
ZC_18,UN_271,ZC_18,佛説仁王般若波羅蜜經,2,1,5,427,5,448,
ZC_19,UN_342,ZC_19,摩訶般若波羅蜜大明咒經,1,0,5,,5,,
ZC_20,UN_266,ZC_20,實相般若波羅蜜經,1,0,5,,5,,
ZC_21,UN_277,ZC_21,般若波羅蜜多心經,1,0,5,,5,,
ZC_22,UN_279,ZC_22,大寳積經,120,43,5,449,6,641,
ZC_23,UN_343,ZC_23,大方廣三戒經,3,1,6,643,6,668,
ZC_24,UN_391,ZC_24,佛說無量清淨平等覺經,4,2,6,669,6,718,
ZC_25,UN_392,ZC_25,佛說阿彌陁經,2,1,6,719,6,762,
ZC_26,UN_390,ZC_26,佛說無量壽經,2,0,6,,6,,
ZC_27,UN_345,ZC_27,阿閦佛國經,2,0,6,,6,,
ZC_28,UN_346,ZC_28,佛說大乘十法經,1,0,6,,6,,
ZC_29,UN_347,ZC_29,佛說普門品經,1,1,6,763,6,794,
ZC_30,UN_349,ZC_30,佛說胞胎經,1,1,6,795,6,816,
ZC_31,UN_350,ZC_31,文殊師利佛土嚴淨經,2,0,6,,6,,
ZC_32,UN_355,ZC_32,法鏡經,1,1,6,817,6,849,
ZC_33,UN_354,ZC_33,鬱迦羅越問菩薩行經,1,1,7,1,7,36,
ZC_34,UN_356,ZC_34,佛說幻士仁賢經,1,1,7,37,7,63,
ZC_35,UN_357,ZC_35,佛說決定毗尼經,1,1,7,65,7,88,
ZC_36,UN_359,ZC_36,發覺凈心經,2,0,7,,7,,
ZC_37,UN_364,ZC_37,佛說優填王經,1,0,7,,7,,
ZC_38,UN_151,ZC_38,須摩提經,1,1,7,89,7,98,
ZC_39,UN_366,ZC_39,佛說須摩提菩薩經,1,1,7,99,7,110,
ZC_40,UN_367,ZC_40,佛說阿闍貰王女阿術達菩薩經,1,1,7,111,7,136,
ZC_41,UN_368,ZC_41,佛說離垢施女經,1,1,7,137,7,169,
ZC_42,UN_369,ZC_42,得無垢女經,1,1,7,171,7,208,
ZC_43,UN_370,ZC_43,文殊師利所說不思議佛境界經,2,0,7,,7,,
ZC_44,UN_372,ZC_44,佛說如幻三昧經,2,1,7,209,7,251,
