tripitaka_code,name,short_name,store_pattern,img_available,img_prefix,img_suffix
KB,开宝藏,开宝,藏_册_页,否,KB,png
QD,契丹藏,契丹,藏_册_页,是,QD,png
LC,高丽初雕,丽初,藏_经_卷_页,是,LC,png
GL,高丽再雕,丽再,藏_经_卷_页,是,GL,png
ZC,赵城金藏,赵城,藏_册_页,否,ZC,png
SZ,宋藏遗珍,宋藏,藏_册_页,否,SZ,png
FS,房山石经,房山,藏_册_页,是,FS,png
CN,崇宁藏,崇宁,藏_册_页,否,CN,png
PL,毘卢藏,毘卢,藏_册_页,是,PL,png
YJ,圆觉藏,圆觉,藏_册_页,否,YJ,png
ZF,资福藏,资福,藏_册_页,否,ZF,png
SX,思溪藏,思溪,藏_册_页,是,SX,png
QS,碛砂藏,碛砂,藏_册_页,是,QS,png
PN,普宁藏,普宁,藏_册_页,否,PN,png
YG,元官藏,元官,藏_册_页,否,YG,png
HW,洪武南藏,洪武,藏_册_页,是,HW,png
YN,永乐南藏,永南,藏_册_页,否,YN,png
YB,永乐北藏,永北,藏_册_页,是,YB,png
JX,嘉兴藏,嘉兴,藏_函_册_页,是,JX,png
JS,径山藏,径山,藏_册_页_栏,是,JS,gif
QL,乾隆藏,乾隆,藏_册_页,是,QL,png
TS,大正藏,大正,藏_册_页,否,TS,jpg
WZ,卍字正藏,卍正,藏_册_页,否,WZ,png
WX,卍字续藏,卍续,藏_册_页,否,WX,png
ZH,中华藏,中华,藏_册_页,是,ZH,png
CB,CBETA,CBETA,藏_册_页,否,CB,png
DK,单刻本,单刻,藏_册_页,否,DK,png
