name,tripitaka_code,volume_num,first_page,last_page,content_page_count,front_cover_count,back_cover_count,content_pages,remark
PL_1,PL,1,1,26,26,0,0,"['PL_1_1', 'PL_1_2', 'PL_1_3', 'PL_1_4', 'PL_1_5', 'PL_1_6', 'PL_1_7', 'PL_1_8', 'PL_1_9', 'PL_1_10', 'PL_1_11', 'PL_1_12', 'PL_1_13', 'PL_1_14', 'PL_1_15', 'PL_1_16', 'PL_1_17', 'PL_1_18', 'PL_1_19', 'PL_1_20', 'PL_1_21', 'PL_1_22', 'PL_1_23', 'PL_1_24', 'PL_1_25', 'PL_1_26']",
PL_10,PL,10,1,24,24,0,0,"['PL_10_1', 'PL_10_2', 'PL_10_3', 'PL_10_4', 'PL_10_5', 'PL_10_6', 'PL_10_7', 'PL_10_8', 'PL_10_9', 'PL_10_10', 'PL_10_11', 'PL_10_12', 'PL_10_13', 'PL_10_14', 'PL_10_15', 'PL_10_16', 'PL_10_17', 'PL_10_18', 'PL_10_19', 'PL_10_20', 'PL_10_21', 'PL_10_22', 'PL_10_23', 'PL_10_24']",
PL_100,PL,100,1,23,23,0,0,"['PL_100_1', 'PL_100_2', 'PL_100_3', 'PL_100_4', 'PL_100_5', 'PL_100_6', 'PL_100_7', 'PL_100_8', 'PL_100_9', 'PL_100_10', 'PL_100_11', 'PL_100_12', 'PL_100_13', 'PL_100_14', 'PL_100_15', 'PL_100_16', 'PL_100_17', 'PL_100_18', 'PL_100_19', 'PL_100_20', 'PL_100_21', 'PL_100_22', 'PL_100_23']",
PL_1000,PL,1000,1,30,30,0,0,"['PL_1000_1', 'PL_1000_2', 'PL_1000_3', 'PL_1000_4', 'PL_1000_5', 'PL_1000_6', 'PL_1000_7', 'PL_1000_8', 'PL_1000_9', 'PL_1000_10', 'PL_1000_11', 'PL_1000_12', 'PL_1000_13', 'PL_1000_14', 'PL_1000_15', 'PL_1000_16', 'PL_1000_17', 'PL_1000_18', 'PL_1000_19', 'PL_1000_20', 'PL_1000_21', 'PL_1000_22', 'PL_1000_23', 'PL_1000_24', 'PL_1000_25', 'PL_1000_26', 'PL_1000_27', 'PL_1000_28', 'PL_1000_29', 'PL_1000_30']",
PL_1001,PL,1001,1,32,32,0,0,"['PL_1001_1', 'PL_1001_2', 'PL_1001_3', 'PL_1001_4', 'PL_1001_5', 'PL_1001_6', 'PL_1001_7', 'PL_1001_8', 'PL_1001_9', 'PL_1001_10', 'PL_1001_11', 'PL_1001_12', 'PL_1001_13', 'PL_1001_14', 'PL_1001_15', 'PL_1001_16', 'PL_1001_17', 'PL_1001_18', 'PL_1001_19', 'PL_1001_20', 'PL_1001_21', 'PL_1001_22', 'PL_1001_23', 'PL_1001_24', 'PL_1001_25', 'PL_1001_26', 'PL_1001_27', 'PL_1001_28', 'PL_1001_29', 'PL_1001_30', 'PL_1001_31', 'PL_1001_32']",
PL_1002,PL,1002,1,30,30,0,0,"['PL_1002_1', 'PL_1002_2', 'PL_1002_3', 'PL_1002_4', 'PL_1002_5', 'PL_1002_6', 'PL_1002_7', 'PL_1002_8', 'PL_1002_9', 'PL_1002_10', 'PL_1002_11', 'PL_1002_12', 'PL_1002_13', 'PL_1002_14', 'PL_1002_15', 'PL_1002_16', 'PL_1002_17', 'PL_1002_18', 'PL_1002_19', 'PL_1002_20', 'PL_1002_21', 'PL_1002_22', 'PL_1002_23', 'PL_1002_24', 'PL_1002_25', 'PL_1002_26', 'PL_1002_27', 'PL_1002_28', 'PL_1002_29', 'PL_1002_30']",
PL_1003,PL,1003,1,8,8,0,0,"['PL_1003_1', 'PL_1003_2', 'PL_1003_3', 'PL_1003_4', 'PL_1003_5', 'PL_1003_6', 'PL_1003_7', 'PL_1003_8']",
PL_1004,PL,1004,1,24,24,0,0,"['PL_1004_1', 'PL_1004_2', 'PL_1004_3', 'PL_1004_4', 'PL_1004_5', 'PL_1004_6', 'PL_1004_7', 'PL_1004_8', 'PL_1004_9', 'PL_1004_10', 'PL_1004_11', 'PL_1004_12', 'PL_1004_13', 'PL_1004_14', 'PL_1004_15', 'PL_1004_16', 'PL_1004_17', 'PL_1004_18', 'PL_1004_19', 'PL_1004_20', 'PL_1004_21', 'PL_1004_22', 'PL_1004_23', 'PL_1004_24']",
PL_1005,PL,1005,1,32,32,0,0,"['PL_1005_1', 'PL_1005_2', 'PL_1005_3', 'PL_1005_4', 'PL_1005_5', 'PL_1005_6', 'PL_1005_7', 'PL_1005_8', 'PL_1005_9', 'PL_1005_10', 'PL_1005_11', 'PL_1005_12', 'PL_1005_13', 'PL_1005_14', 'PL_1005_15', 'PL_1005_16', 'PL_1005_17', 'PL_1005_18', 'PL_1005_19', 'PL_1005_20', 'PL_1005_21', 'PL_1005_22', 'PL_1005_23', 'PL_1005_24', 'PL_1005_25', 'PL_1005_26', 'PL_1005_27', 'PL_1005_28', 'PL_1005_29', 'PL_1005_30', 'PL_1005_31', 'PL_1005_32']",
PL_1006,PL,1006,1,28,28,0,0,"['PL_1006_1', 'PL_1006_2', 'PL_1006_3', 'PL_1006_4', 'PL_1006_5', 'PL_1006_6', 'PL_1006_7', 'PL_1006_8', 'PL_1006_9', 'PL_1006_10', 'PL_1006_11', 'PL_1006_12', 'PL_1006_13', 'PL_1006_14', 'PL_1006_15', 'PL_1006_16', 'PL_1006_17', 'PL_1006_18', 'PL_1006_19', 'PL_1006_20', 'PL_1006_21', 'PL_1006_22', 'PL_1006_23', 'PL_1006_24', 'PL_1006_25', 'PL_1006_26', 'PL_1006_27', 'PL_1006_28']",
