统一编码,经编码,经名,卷编码,卷序号,起始册,起始页,终止册,终止页,备注
UN00253,GL0007,小品般若波羅蜜經,GL0007_1,1,GL_7_1,1,GL_7_1,22,
UN00253,GL0007,小品般若波羅蜜經,GL0007_2,2,GL_7_2,1,GL_7_2,21,
UN00253,GL0007,小品般若波羅蜜經,GL0007_3,3,GL_7_3,1,GL_7_3,25,
UN00253,GL0007,小品般若波羅蜜經,GL0007_4,4,GL_7_4,1,GL_7_4,19,
UN00253,GL0007,小品般若波羅蜜經,GL0007_5,5,GL_7_5,1,GL_7_5,24,
UN00253,GL0007,小品般若波羅蜜經,GL0007_6,6,GL_7_6,1,GL_7_6,23,
UN00253,GL0007,小品般若波羅蜜經,GL0007_7,7,GL_7_7,1,GL_7_7,26,
UN00253,GL0007,小品般若波羅蜜經,GL0007_8,8,GL_7_8,1,GL_7_8,19,
UN00253,GL0007,小品般若波羅蜜經,GL0007_9,9,GL_7_9,1,GL_7_9,21,
UN00253,GL0007,小品般若波羅蜜經,GL0007_10,10,GL_7_10,1,GL_7_10,29,
UN00256,GL0008,勝天王般若波羅蜜經,GL0008_1,1,GL_8_1,1,GL_8_1,32,
UN00256,GL0008,勝天王般若波羅蜜經,GL0008_2,2,GL_8_2,1,GL_8_2,31,
UN00256,GL0008,勝天王般若波羅蜜經,GL0008_3,3,GL_8_3,1,GL_8_3,27,
UN00256,GL0008,勝天王般若波羅蜜經,GL0008_4,4,GL_8_4,1,GL_8_4,23,
UN00256,GL0008,勝天王般若波羅蜜經,GL0008_5,5,GL_8_5,1,GL_8_5,24,
UN00256,GL0008,勝天王般若波羅蜜經,GL0008_6,6,GL_8_6,1,GL_8_6,20,
UN00256,GL0008,勝天王般若波羅蜜經,GL0008_7,7,GL_8_7,1,GL_8_7,22,
UN00251,GL0009,大明度經,GL0009_1,1,GL_9_1,1,GL_9_1,17,
UN00251,GL0009,大明度經,GL0009_2,2,GL_9_2,1,GL_9_2,24,
UN00251,GL0009,大明度經,GL0009_3,3,GL_9_3,1,GL_9_3,22,
UN00251,GL0009,大明度經,GL0009_4,4,GL_9_4,1,GL_9_4,27,
UN00251,GL0009,大明度經,GL0009_5,5,GL_9_5,1,GL_9_5,26,
UN00251,GL0009,大明度經,GL0009_6,6,GL_9_6,1,GL_9_6,21,
